"","sample","dim(resmatrix)[1]","dim(Nfails)[1]","dim(Ifails)[1]","gw$list_fails","gw$percent_converged"
"1","wt_250",1173,0,2,225,80.8184143222506
"2","wt_750",1116,0,1,368,67.0250896057348
"3","wt_1500",752,257,6,139,81.5159574468085
"4","tr_250",1177,60,8,215,81.7332200509771
"5","tr_750",1206,39,10,378,68.6567164179104
"6","tr_1500",1185,79,15,250,78.9029535864979
"7","wt_250",1173,0,2,225,80.8184143222506
"8","wt_750",1116,0,1,368,67.0250896057348
"9","wt_1500",752,257,6,139,81.5159574468085
"10","tr_250",1177,60,8,215,81.7332200509771
"11","tr_750",1206,39,10,378,68.6567164179104
"12","tr_1500",1185,79,15,250,78.9029535864979
