accession,WT_1,WT_2,WT_3
LOC_Os07g12170,621,488,563
LOC_Os11g03760,476,413,448
LOC_Os05g34830,185,125,269
LOC_Os07g43140,4,2,0
LOC_Os06g42720,12816,14672,11924
LOC_Os07g37470,0,1,0
LOC_Os02g08364,347,450,444
LOC_Os09g26960,652,843,797
LOC_Os01g72810,15,9,20
LOC_Os03g40110,771,633,699
LOC_Os07g02330,94,66,130
LOC_Os03g46070,384,41,100
LOC_Os03g17840,22,45,28
LOC_Os09g23260,1,0,2
LOC_Os12g26480,1029,1293,1303
LOC_Os03g18960,4,2,0
LOC_Os01g06360,4,9,11
LOC_Os03g20600,11,3,11
LOC_Os07g36570,23,17,25
LOC_Os05g48020,291,241,234
LOC_Os07g46710,324,210,283
LOC_Os01g37180,2,1,6
LOC_Os01g27380,0,0,2
LOC_Os01g10610,455,340,515
LOC_Os04g31260,0,0,2
LOC_Os11g08830,14,7,10
LOC_Os09g27750,40,107,48
LOC_Os03g41438,373,430,465
LOC_Os04g32740,26,4,12
LOC_Os07g26660,7,3,1
LOC_Os10g34340,1,1,1
LOC_Os06g10230,0,1,0
LOC_Os11g09710,268,263,182
LOC_Os03g30160,0,0,1
LOC_Os03g36810,1,0,0
LOC_Os06g36390,242,72,207
LOC_Os05g02700,8,7,12
LOC_Os05g38160,410,418,435
LOC_Os01g31580,747,526,500
LOC_Os04g47010,18,32,23
LOC_Os01g01110,6,4,13
LOC_Os03g30092,203,267,251
LOC_Os07g42790,1,2,3
LOC_Os11g01869,188,159,158
LOC_Os09g12350,0,0,0
LOC_Os02g03040,4050,2693,3534
LOC_Os01g24710,1,7,2
LOC_Os12g25400,0,0,1
LOC_Os03g45980,2,2,1
LOC_Os10g22190,0,0,0
LOC_Os01g12464,17,11,18
LOC_Os08g33830,2574,2146,2589
LOC_Os05g06300,95,95,82
LOC_Os07g11070,167,145,151
LOC_Os02g22030,0,0,2
LOC_Os07g46600,743,729,763
LOC_Os07g37320,1144,908,1635
