Reaction,Lower Bound,Upper Bound
EX_co2(e),-7.595887507607176,-6.874183248586146
EX_h2o(e),-46.99157755906638,0.0
EX_h(e),-7.527869363673016,0.0
EX_no3(e),-0.14516936688992507,0.0
EX_o2(e),-45.880541490908136,0.0
EX_nh4(e),-1.2969786861839836,-0.1984752723657928
EX_mg2(e),-0.015485517437208529,0.0
EX_photonVis(e),-275.0,-249.25137360475233
PRISM_white_LED_M,226.59215782250428,250.0
RPSI_430(u)_M,0.6170999496530202,0.68084875
RPSI_450(u)_M,0.0,33.982031500000005
RPSI_470(u)_M,0.0,47.49298375
RPSI_490(u)_M,0.0,12.59747775
RPSI_510(u)_M,0.0,36.89597975
RPSI_530(u)_M,0.0,33.01180875
RPSI_550(u)_M,0.0,7.850402500000001
RPSI_570(u)_M,1.0405466678412356,1.14803914425
RPSI_590(u)_M,0.1301402913502816,0.146295
RPSI_610(u)_M,0.19890591115720438,0.21945365747499998
RPSI_630(u)_M,0.0,3.5253125
RPSI_650(u)_M,0.0,35.0267885
RPSI_670(u)_M,0.0,36.5980245
RPSI_690(u)_M,0.0,0.8145934322499999
RPSII_430(u)_M,0.0,0.68084875
RPSII_450(u)_M,0.0,33.982031500000005
RPSII_470(u)_M,0.0,47.49298375
RPSII_490(u)_M,0.0,12.59747775
RPSII_510(u)_M,0.0,36.89597975
RPSII_530(u)_M,0.0,33.01180875
RPSII_550(u)_M,0.0,7.850402500000001
RPSII_570(u)_M,0.0,1.14803914425
RPSII_630(u)_M,0.0,3.5253125
RPSII_650(u)_M,0.0,35.0267885
RPSII_670(u)_M,0.0,36.5980245
RPSII_690(u)_M,0.0,0.8145934322499999
CO2tex_M,6.874183248586066,7.59588750760719
Htex_M,-5.916746166992221,6.869641349545633
O2tex_M,0.0,45.8805414909093
Pitex_M,-7.49738726078728,9.037856704072237
H2Stex_M,-0.25897516759211964,0.2375361968141835
MG2tex_M,0.0,0.015225343655587864
PPASc_M,0.0,1.9333475178544912
PPASs_M,0.824927760520431,4.262579440892772
PPASx_M,0.0,1.0207405786498072
PPAIcxc_M,0.0,1.6085443657829055
APLs_M,0.0,0.0385453533672152
CATs_M,0.0,7.496039874477674
CATx_M,0.0,1.7445603527841929
CATm_M,0.0,0.6557777538063635
RBPCs_M,6.850986923246111,9.337504310574257
CYOO6m_M,0.0,1.7267331997918411
AOXm_M,0.0,2.809070084382353
ATPSs_M,32.23666658310221,40.58041567360039
ATPSm_M,0.0,5.099471545279651
GLUSs_M,0.0,1.432310649514262
GLUSys_M,0.0,3.6558356615411536
GTHRc_M,0.0,3.3266367329321525
ADK1c_M,0.0,1.5509886437013245
ADK1s_M,0.0,3.541786575014131
ATUDc_M,0.0,1.8046581357240725
ATUDs_M,0.0,1.454026143554735
PYKc_M,0.0,2.796877961390221
PYKs_M,0.0,3.918686283220194
ACSc_M,0.0,1.1488423542049095
ACSx_M,0.0,1.020740578649934
ACSs_M,0.0,1.3784023517960735
GALs_M,0.0,3.666440610475348
AGATm_M,-1.8955092946120042,2.299352482639957
ALAATc_M,-4.782970043012337,0.0
ALAATm_M,-0.6038444980076597,0.17555481466731493
AAATc_M,0.0,0.19509839963835082
ICDHm_M,0.0,0.17042918894365916
GTHPc_M,0.0,3.020663952611997
GALKc_M,-7.003310256496056,0.0
UGLTc_M,-5.397600959823368,0.0
GALUic_M,0.0,1.8130386695073284
UDPG4Ec_M,0.0,7.04911937347113
PPCKc_M,0.0,0.5551898465901044
MDHys_M,-3.8785991977070218,0.0
MDHc_M,-3.728212803238332,0.0
MDHx_M,0.0,1.7401900209339958
MDHm_M,-2.0227207008689794,0.0
ATPCSc_M,0.0,1.4410181663978063
CSx_M,0.0,1.229714003941575
CSm_M,-1.1875451314580923,0.6372606231264979
ASPTAc_M,-2.088611445487145,2.348316563838188
ASPTAs_M,-0.4403310143910903,2.1696899036743282
GLYTAx_M,0.0,1.7917744695883628
LYSDCs_M,0.0,0.10356454180916146
PDHam1s_M,0.0,0.5087111492174734
PDHam2s_M,0.0,0.500683430186781
PDHe2s_M,0.0,0.42588607014225377
PDHe3s_M,0.0,0.4943170592641529
DAPDCs_M,0.0,0.10876664214865048
MALSx_M,0.0,1.2297140039415746
GOXx_M,0.0,3.4891207055685096
ICLx_M,0.0,0.50081756311626
ASPKs_M,0.0,1.0380522729077502
HCGALc_M,0.0,0.011565137585912693
PSPs_M,0.0,1.2051012696483407
CYSTGLs_M,0.0,0.0307645348668921
CYSTBSs_M,0.0,0.07917790514164154
SATc_M,0.0,0.26409874341538275
SGATx_M,0.8684428743408347,1.7409385137600353
AMETAHYCSTc_M,-0.4403310143911493,0.03018047449285828
ENOc_M,0.0,25.298083613883644
ENOs_M,-3.329653764342263,2.9287064012643578
ORNTAc_M,-0.23046679444525142,0.0
PPDHc_M,0.0,0.07090402293334837
PPDHs_M,0.0,0.07189737406704216
MALCOADCc_M,0.0,0.1235130837571383
ICHDxm_M,0.0,0.26859356753588093
ACALDHc_M,0.0,1.0441511927634137
ACALDHm_M,0.0,1.4940500822407925
ARGDHTs_M,0.0,0.07189737406704419
ARGOAT2s_M,0.0,0.07354466143580622
ARGDHs_M,0.0,0.07307320018383766
GLYDHDm_M,0.0,2.0174632782491084
DHLDHm_M,0.0,1.97080213960618
MTAMnh4m_M,0.0,1.9708786492671249
THRAc_M,0.0,1.3966461723531576
MDHARc_M,0.0,8.729808488332276
MDHARs_M,0.0,1.5577216337561848
MDHARyc_M,0.0,29.847827648991526
MDHARys_M,0.0,5.097081692846309
ASCOXc_M,0.0,14.916432083688601
ASCPO1c_M,0.0,2.981189674331954
ASCPO1s_M,0.0,5.0970816928463245
FBPc_M,0.0,8.764993683130939
FBPs_M,0.0,5.962378026578486
SPSc_M,0.0,1.4025681986339782
PGI1c_M,-8.862026463998413,1.4004638996412708
PGI1s_M,-2.3121849123985543,7.4152275260126554
SPPc_M,0.0,0.9631869439879401
CYSSc_M,0.0,0.2640987434153611
SHMTm_M,-0.652104507537526,1.9781595161808767
GLPATs_M,0.824927760520431,4.3464595802067505
TPIc_M,0.0,11.552553571609101
TPIs_M,-18.296057652671152,-2.0442325106911534
RPIs_M,3.311303532948198,3.964581709353566
GAPDHc_M,-5.4288343138059645,6.3352598894085
GAPDH1ys_M,-23.04957738731619,-15.576425590701426
FBAc_M,-8.764993683130472,0.0
FBAs_M,-5.949326908351887,0.0
FUMm_M,-1.5526171380958127,0.0
ARGSL1c_M,0.0,0.22591623883439335
LATs_M,-0.02964896799525378,0.0
DHAD-bs_M,0.0,0.0385453533672161
HMGCOASc_M,0.0,0.0939861247171151
ACACTc_M,0.0,0.09398612471711743
IPMSs_M,0.0,0.029648967995252143
VALATs_M,-0.03665132584383136,0.029648967995250734
P5CRc_M,0.0,0.6393750512420847
P5CRyc_M,0.0,0.6320614627741439
CYSTALs_M,0.0,0.08543933175578045
PGLYCPs_M,1.7367191064227059,3.4818770275200253
UG46DHc_M,0.0,0.024329521527464256
UDDGEc_M,0.0,0.024329521527466726
URMNORc_M,0.0,0.024329521527462376
HPRx_M,0.2425158632739108,1.7398010033299571
HPRyx_M,0.0,1.4708124794242967
THRSs_M,0.0,1.0053643612169663
PGKc_M,-5.414121968658097,6.3922692178890985
PGKs_M,-22.509079442899917,-15.499672146844834
PGLYDHs_M,0.0,1.2058421960356902
GLYK1s_M,0.8705115529451332,1.740549496156076
PGMc_M,0.0,8.501149725735548
PGMs_M,-2.63087786955507,2.847252402303271
PRUKs_M,9.707033865529507,11.917331458443773
RPEs_M,-7.933476824317618,-6.63264179552907
TKT1s_M,-3.9723155115970115,-3.3138163717254883
MOPCs_M,0.0,0.02964896799525142
CHRSs_M,0.0,0.07354466143580027
CHRMs_M,0.0,0.07354466143580547
HSKs_M,0.0,1.0095574988207143
HSDHs_M,0.0,0.7519061252967303
HSDHys_M,0.0,1.0069596135167675
GLUKAs_M,0.0,3.521531819685575
GGSs_M,0.0,0.9312012799625984
DPHSs_M,0.0,0.07354466143581158
TALAs_M,0.0,6.015559694961035
FBA3s_M,3.13453311981282,9.393366666973964
TKT2s_M,-3.967274748041766,-3.3304918454985954
SBPs_M,3.134533119812716,9.393366666973964
ACONTc_M,-25.2340896316343,0.0
ACONc_M,0.0,25.25146759709753
ACONTm_M,0.0,0.17025651883777804
ACONm_M,0.0,0.17081899583879945
ARGSSs_M,0.0,0.011676169854872824
ARGSSc_M,0.0,0.21622413734646953
AGSs_M,0.20623194013010776,1.0866148950515413
CYORm_M,0.0,3.2307166986928877
NADORm_M,0.0,2.493803585714639
SUCDH1m_M,0.0,0.517910663202263
BCTA3s_M,0.0,0.030764534866884543
GACTs_M,0.0,0.011676169854872678
AOTAs_M,0.0,0.20739874419185375
AODAAc_M,0.0,0.20827392634659114
OCTs_M,0.0,0.011676169854872812
OCTc_M,0.0,0.011566764177837462
ASADHs_M,0.005712060177516672,1.0095574988206035
DHDPSs_M,0.0,0.10863840527300589
SKKs_M,0.0,0.07354466143584829
SKDHs_M,0.0,0.07354466143580797
SSs_M,0.4124638802602155,2.274866440185588
AGKc_M,0.0,0.19675179512383228
DAPEPs_M,0.0,0.10863840527300728
KARAs_M,0.0,0.03854535336721322
DHQSs_M,0.0,0.07354466143580457
DQDHs_M,0.0,0.07354466143580243
