Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,-1e-07,1e-07
Straw_Biomass_M,-1e-07,1e-07
ACCOAC_OSAr_M,-1e-07,1e-07
ACPC_OSs_M,-1e-07,1e-07
FAC_Osc_M,-1e-07,1e-07
FAC_Osr_M,-1e-07,1e-07
EX_co2(e),-7.431196913255701,-7.431196713255418
EX_h2o(e),-1e-07,1e-07
EX_h(e),-0.7654289071595584,-0.765428707162034
EX_no3(e),-0.00038663004146693004,-0.0003864300413595507
EX_o2(e),-51.16513291707218,1e-07
EX_pi(e),-1e-07,1e-07
EX_sucr(e),-1e-07,1e-07
EX_fru-B(e),-1e-07,1e-07
EX_glc-A(e),-1e-07,1e-07
EX_so4(e),-1e-07,1e-07
EX_hco3(e),-1e-07,1e-07
EX_so3(e),-1e-07,1e-07
EX_h2s(e),-1e-07,1e-07
EX_nh4(e),-0.21455778026214717,-0.21455758026232286
EX_asn-L(e),-1e-07,1e-07
EX_gln-L(e),-1e-07,1e-07
EX_etoh(e),-1e-07,1e-07
EX_ac(e),-1e-07,1e-07
EX_lac-L(e),-1e-07,1e-07
EX_tsul(e),-1e-07,1e-07
EX_fe2(e),-1e-07,1e-07
EX_fe3(e),-1e-07,1e-07
EX_mg2(e),-1e-07,1e-07
EX_ala-L(e),-1e-07,1e-07
EX_arg-L(e),-1e-07,1e-07
EX_asp-L(e),-1e-07,1e-07
EX_cys-L(e),-1e-07,1e-07
EX_glu-L(e),-1e-07,1e-07
EX_gly(e),-1e-07,1e-07
EX_his-L(e),-1e-07,1e-07
EX_ile-L(e),-1e-07,1e-07
EX_leu-L(e),-1e-07,1e-07
EX_lys-L(e),-1e-07,1e-07
EX_met-L(e),-1e-07,1e-07
EX_phe-L(e),-1e-07,1e-07
EX_pro-L(e),-1e-07,1e-07
EX_ser-L(e),-1e-07,1e-07
EX_thr-L(e),-1e-07,1e-07
EX_trp-L(e),-1e-07,1e-07
EX_tyr-L(e),-1e-07,1e-07
EX_val-L(e),-1e-07,1e-07
EX_photonVis(e),-275.0000001,-274.9999999000005
PRISM_blue_LED_M,-1e-07,1e-07
PRISM_red_LED_M,-1e-07,1e-07
PRISM_white_LED_M,249.99999990000063,250.0000001
PRISM_green_LED_M,-1e-07,1e-07
PRISM_solar_litho_M,-1e-07,1e-07
RPSI_410(u)_M,-1e-07,1e-07
RPSI_430(u)_M,0.68084865,0.68084885
RPSI_450(u)_M,33.982031400000004,33.982031600000006
RPSI_470(u)_M,47.49298365,47.49298385
RPSI_490(u)_M,-1e-07,1e-07
RPSI_510(u)_M,-1e-07,9.999059422448171e-08
RPSI_530(u)_M,-1e-07,9.997782381149771e-08
RPSI_550(u)_M,-1e-07,9.999583355503318e-08
RPSI_570(u)_M,1.14803904425,1.14803924425
RPSI_590(u)_M,0.1462949,0.1462951
RPSI_610(u)_M,0.21945355747499998,0.21945375747499998
RPSI_630(u)_M,3.5253124000000002,3.5253126
RPSI_650(u)_M,35.0267884,35.0267886
RPSI_670(u)_M,8.388747456533894,10.565456134759051
RPSI_690(u)_M,-1e-07,9.999751637539367e-08
RPSII_410(u)_M,-1e-07,1e-07
RPSII_430(u)_M,-1e-07,1e-07
RPSII_450(u)_M,-1e-07,1e-07
RPSII_470(u)_M,-1e-07,9.999179424548962e-08
RPSII_490(u)_M,12.597477650004516,12.597477849999999
RPSII_510(u)_M,36.89597965000351,36.89597985
RPSII_530(u)_M,33.01180865000817,33.01180885
RPSII_550(u)_M,7.85040240003449,7.850402600000002
RPSII_570(u)_M,-1e-07,1e-07
RPSII_590(u)_M,-1e-07,1e-07
RPSII_610(u)_M,-1e-07,1e-07
RPSII_630(u)_M,-1e-07,1e-07
RPSII_650(u)_M,-1e-07,1e-07
RPSII_670(u)_M,26.03256836523996,28.209277043477524
RPSII_690(u)_M,0.81459333225,0.8145935322499999
CO2tex_M,7.431196713255699,7.431196913255697
H2Otex_M,-1e-07,1e-07
Htex_M,-7.760038243549323,7.4434404893538915
NO3tex_M,-1e-07,1e-07
O2tex_M,-1e-07,51.16513291706571
Pitex_M,-7.971025538491576,10.68782586662723
SUCRtex_M,-1e-07,1e-07
FRUtex_M,-1e-07,1e-07
GLCtex_M,-1e-07,1e-07
SO4tex_M,-1e-07,1e-07
SO3tex_M,-1e-07,1e-07
HCO3tex_M,-1e-07,1e-07
H2Stex_M,-1e-07,1e-07
NH4tex_M,-1e-07,1e-07
ASNtex_M,-1e-07,1e-07
GLNtex_M,-1e-07,1e-07
ETOHtex_M,-1e-07,1e-07
ACtex_M,-1e-07,1e-07
LACtex_M,-1e-07,1e-07
TSULtex_M,-1e-07,1e-07
FE2tex_M,-1e-07,1e-07
FE3tex_M,-1e-07,1e-07
MG2tex_M,-1e-07,1e-07
ALAtex_M,-1e-07,1e-07
ARGtex_M,-1e-07,1e-07
ASPtex_M,-1e-07,1e-07
CYStex_M,-1e-07,1e-07
GLUtex_M,-1e-07,1e-07
GLYtex_M,-51.179346043615546,51.18183607396253
HIStex_M,-1e-07,1e-07
ILEtex_M,-1e-07,1e-07
LEUtex_M,-1e-07,1e-07
LYStex_M,-1e-07,1e-07
METtex_M,-1e-07,1e-07
PHEtex_M,-1e-07,1e-07
PROtex_M,-1e-07,1e-07
SERtex_M,-1e-07,1e-07
THRtex_M,-1e-07,1e-07
TRPtex_M,-1e-07,1e-07
TYRtex_M,-1e-07,1e-07
VALtex_M,-1e-07,1e-07
PPASc_M,-1e-07,0.08541964910188689
PPASs_M,0.8917713764741773,1.0513618127905608
PPASm_M,-1e-07,1e-07
PPASx_M,-1e-07,1e-07
PPAIcxc_M,-1e-07,0.08541964910188689
PPAIcvc_M,-1e-07,0.08541964910188689
APLs_M,-1e-07,0.007228092106689584
APLm_M,-1e-07,1e-07
CATv_M,-1e-07,0.4455667666666666
CATs_M,0.1956363788736749,0.2227834333333333
CATx_M,0.6385445986546398,1.4882939356393188
CATm_M,-1e-07,0.4455667666666666
GLUSfs_M,-1e-07,1e-07
RBPCs_M,8.071467063157945,8.92976311383597
RBPC2s_M,-1e-07,1e-07
CYOO6m_M,1.7921146386439823,3.0585290596672836
NO3Rm_M,-1e-07,1e-07
AOXm_M,-1e-07,1e-07
ATPPHc_M,-1e-07,1e-07
ATPPHm_M,-1e-07,1e-07
ATPPHs_M,-1e-07,1e-07
ATPSs_M,35.6629140731436,36.19718298196329
ATPSm_M,4.725150659879874,8.363978843887546
GLUSs_M,-1e-07,0.07219744963384649
GLUSys_M,-1e-07,1.5959168234073566
GTHRc_M,-1e-07,1e-07
GTHRs_M,-1e-07,1e-07
GTHRm_M,-1e-07,1e-07
ADK1c_M,-1e-07,0.011464365626164093
ADK1m_M,-1e-07,1e-07
ADK1s_M,-1e-07,0.15959033631588165
ATPAPc_M,-1e-07,1e-07
ADPAc_M,-1e-07,1e-07
GAL1PUTc_M,-1e-07,0.07395538347582392
DPCOAKc_M,-1e-07,1e-07
URIKGc_M,-1e-07,1e-07
URIKGs_M,-1e-07,0.15959033631592157
DHDHc_M,-0.1595903363159417,1e-07
BUPNc_M,-1e-07,0.15959033631589956
DHPDc_M,-1e-07,0.15959033631589956
CYTDc_M,-1e-07,1e-07
GTPCYTDPTc_M,-1e-07,1e-07
GTPCYTDPTs_M,-0.15959033631583577,1e-07
DCTPDAc_M,-1e-07,1e-07
CTPRc_M,-1e-07,1e-07
UTPRc_M,-1e-07,1e-07
ATPRc_M,-1e-07,1e-07
GTPRc_M,-1e-07,1e-07
DCAHc_M,-1e-07,1e-07
UPRTs_M,-1e-07,0.15959033631612993
UPRTc_M,-1e-07,1e-07
UPHc_M,-1e-07,1e-07
UPHs_M,-0.15959033631591132,1e-07
DURIKc_M,-1e-07,1e-07
TMDKc_M,-1e-07,1e-07
ATCYc_M,-1e-07,1e-07
ATCYs_M,-1e-07,0.15959033631590697
AUPTc_M,-1e-07,1e-07
AUPTs_M,-1e-07,0.15959033631577862
DGSNHc_M,-1e-07,1e-07
TPHc_M,-1e-07,1e-07
DUMPc_M,-1e-07,0.1595903363158821
DCMPc_M,-1e-07,1e-07
CMPc_M,-1e-07,1e-07
CMPs_M,-1e-07,1e-07
UMPc_M,-1e-07,1e-07
UMPs_M,-1e-07,1e-07
CTPSc_M,-1e-07,1e-07
DUTNHc_M,-1e-07,1e-07
DCDTc_M,-1e-07,1e-07
DUDTc_M,-1e-07,0.1595903363158821
TDSRs_M,-1e-07,1e-07
TDSRc_M,-1e-07,0.1595903363158679
ATDUDc_M,-1e-07,1e-07
DUMPKc_M,-0.15959033631587222,1e-07
ATDCDc_M,-1e-07,1e-07
DCMPKc_M,-1e-07,1e-07
ATCDc_M,-1e-07,1e-07
ATCDs_M,-1e-07,1e-07
CMPKc_M,-1e-07,1e-07
CMPKs_M,-1e-07,1e-07
ATUDc_M,-1e-07,0.07395538347572045
ATUDs_M,-1e-07,1e-07
UMPKc_M,-1e-07,0.15959033631580938
MATc_M,-1e-07,1e-07
AMPDc_M,-1e-07,1e-07
AMPPc_M,-1e-07,1e-07
ADNKc_M,-1e-07,1e-07
APPRTc_M,-1e-07,1e-07
APPRTs_M,-1e-07,1e-07
ADSHc_M,-1e-07,1e-07
PEPSs_M,-1e-07,1e-07
PYKc_M,-1e-07,0.025262171750361908
PYKs_M,-1e-07,0.006259985996890091
PPDKs_M,-1e-07,1e-07
PPDKc_M,-1e-07,1e-07
MDH2c_M,-1e-07,1e-07
MDH2s_M,-1e-07,1e-07
PDCm_M,-1e-07,1e-07
PDCs_M,-1e-07,1e-07
ACSc_M,-1e-07,1e-07
ACSx_M,-1e-07,1e-07
ACSs_M,-1e-07,0.1595903363159185
GLU5Kc_M,-1e-07,0.01300809241716882
GLU5Ks_M,-1e-07,1e-07
GDHym_M,-1e-07,1e-07
GDHm_M,-1e-07,1e-07
PYR5CDm_M,-1e-07,1e-07
PYR5CDs_M,-1e-07,1e-07
PYR5CDym_M,-1e-07,1e-07
PYR5CDys_M,-1e-07,1e-07
GALc_M,-1e-07,0.006259985987980996
GALs_M,-1e-07,1.6073810890332616
AGATm_M,-0.3144427633264633,1.9889433852433627
AGATx_M,-1e-07,1e-07
AGATs_M,-1e-07,1e-07
ALAATc_M,-26.864404542444582,24.892076559087837
ALAATm_M,-9.999858351241305e-08,1e-07
ALAATs_M,-1e-07,1e-07
AAATc_M,-1e-07,1e-07
ARGDs_M,-1e-07,1e-07
ARGDc_M,-1e-07,1e-07
ARGDm_M,-1e-07,1e-07
ASPCLc_M,-0.15959033631586497,1e-07
ICDHc_M,-1e-07,1e-07
ICDHm_M,-0.20872714225393607,0.05429380892059937
GTHPs_M,-1e-07,1e-07
GTHPc_M,-1e-07,1e-07
GTHPm_M,-1e-07,1e-07
UPGCDc_M,-1e-07,1e-07
GALKc_M,-7.727525067702,6.953571177171604
UGLTc_M,-7.798398881038652,6.953571177171604
THAc_M,-1e-07,1e-07
THPc_M,-1e-07,1e-07
TPSc_M,-1e-07,9.99986246418393e-08
GLCNSc_M,-1e-07,1e-07
GLCNGBc_M,-1e-07,1e-07
GLCNGAc_M,-1e-07,1e-07
GALUic_M,-1e-07,0.07395538347577951
MTGHc_M,-1e-07,1e-07
MGHAc_M,-1e-07,1e-07
MGHBc_M,-1e-07,1e-07
SFHc_M,-1e-07,1e-07
RGHc_M,-1e-07,1e-07
SYGHc_M,-1e-07,1e-07
GRGTc_M,-1e-07,1e-07
RAFFINSc_M,-1e-07,1e-07
IAGTc_M,-1e-07,1e-07
UDPG4Ec_M,-38.373849712799256,38.37580598453767
ATGDc_M,-1e-07,1e-07
ATGDs_M,-1e-07,0.15959033631535038
GTPDPKs_M,-1e-07,1e-07
GBDPs_M,-1e-07,1e-07
GDTPs_M,-1e-07,1e-07
ATDADc_M,-1e-07,1e-07
ATDGDc_M,-1e-07,1e-07
PPCKc_M,-1e-07,1e-07
MDHys_M,-0.07219744963419046,0.06755908913627119
MDHs_M,-76.74769932561485,1e-07
MDHc_M,-5.964847487821661,1e-07
MDHx_M,0.6928238341846238,1.281817485625331
MDHm_M,-1e-07,4.4064596350855485
PPCc_M,-1e-07,1e-07
ATPCSc_M,3.1455334280150153,4.846677108914035
CSx_M,-1e-07,0.10323832500715793
CSm_M,3.0982341188643936,4.797732592827014
OXAACc_M,-1e-07,1e-07
OXAODc_M,-1e-07,1e-07
NNATc_M,-1e-07,1e-07
NADS(nh4)c_M,-1e-07,1e-07
NADS(gln-L)c_M,-1e-07,1e-07
NAMNPPc_M,-1e-07,1e-07
NNAMc_M,-1e-07,1e-07
NMNDAc_M,-1e-07,1e-07
NMNNc_M,-1e-07,1e-07
NMNATc_M,-1e-07,1e-07
N2PHs_M,-1e-07,1e-07
N2PHc_M,-1e-07,1e-07
NADKc_M,-1e-07,1e-07
NADKs_M,-1e-07,1e-07
NADKm_M,-1e-07,1e-07
NADHKc_M,-1e-07,1e-07
NADHKs_M,-1e-07,1e-07
NADHKm_M,-1e-07,1e-07
ASPTAc_M,-6.105051387685343,1.640734799189287
ASPTAm_M,-1e-07,1e-07
ASPTAs_M,-1e-07,1.0000113242748511e-07
GLYTAx_M,-1e-07,1e-07
LYSDCs_M,-1e-07,1e-07
AASADc_M,-1e-07,1e-07
SACCDyc_M,-1e-07,1e-07
SACCDc_M,-1e-07,1e-07
AATAc_M,-1e-07,1e-07
PDHam1m_M,-1e-07,1e-07
PDHam2m_M,-1e-07,1e-07
PDHe2m_M,-1e-07,1e-07
PDHe3m_M,-1e-07,1e-07
PDHam1s_M,-1e-07,0.009669334473847659
PDHam2s_M,-1e-07,1e-07
PDHe2s_M,-1e-07,1e-07
PDHe3s_M,-1e-07,1e-07
OXADH1m_M,-1e-07,1e-07
OXADH2m_M,-1e-07,1e-07
DAPDCs_M,-1e-07,0.006175007163991823
MALSs_M,-1e-07,1e-07
MALSx_M,-1e-07,0.10323832500737401
GOXx_M,1.2770892972843624,2.9765877712785453
ICLx_M,-1e-07,1e-07
AMOx_M,-1e-07,1e-07
AOBUTDx_M,-1e-07,1e-07
THR3DHx_M,-1e-07,1e-07
GLYATx_M,-1e-07,1e-07
ASPKs_M,-1e-07,0.013881674244409295
ASPALs_M,-1e-07,1e-07
ASPALc_M,-1e-07,1e-07
ASNNc_M,-1e-07,1e-07
FDHm_M,-1e-07,1e-07
FDHNc_M,-1e-07,1e-07
SULOm_M,-1e-07,1e-07
SUATs_M,-1e-07,1e-07
ARGNc_M,-1e-07,1e-07
PTORc_M,-1e-07,1e-07
PAOc_M,-1e-07,1e-07
AMPORc_M,-1e-07,1e-07
SPMDDHc_M,-1e-07,1e-07
ABORc_M,-1e-07,1e-07
ARG2MO_M,-1e-07,1e-07
GABUTAHc_M,-1e-07,1e-07
GABUTNAHc_M,-1e-07,1e-07
CMPAc_M,-1e-07,1e-07
AGDIc_M,-1e-07,1e-07
AGMTc_M,-1e-07,1e-07
ARDCc_M,-1e-07,1e-07
