Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,13.675365889376394
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,7.8367559952460715
FAC_Osr_M,0.0,13.675365889243366
EX_co2(e),-22.2,-19.98000000000005
EX_h2o(e),-19.00389337731417,0.0
EX_h(e),-69.0513304293458,0.0
EX_no3(e),-0.49437258319070954,0.0
EX_o2(e),-230.1231937550372,0.0
EX_pi(e),-12.92321121391832,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.11684210526315733,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.11684210526315669,0.0
EX_h2s(e),-0.11684210526314939,0.0
EX_nh4(e),-4.277913010486891,-0.5768737606295575
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.06529411764705886,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,3.5865309959893037,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545455
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,183.06548488636366
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,0.0,0.0
RPSI_590(u)_M,0.0,0.0
RPSI_610(u)_M,0.0,0.0
RPSI_630(u)_M,0.0,19.549460227272725
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,0.0,202.95268131818182
RPSI_690(u)_M,0.0,0.0
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,0.0
RPSII_450(u)_M,0.0,188.44581104545458
RPSII_470(u)_M,0.0,263.37018261363636
RPSII_490(u)_M,0.0,69.85874025
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636366
RPSII_550(u)_M,0.0,43.53405022727273
RPSII_570(u)_M,0.0,6.36639889084091
RPSII_590(u)_M,0.0,0.8112722727272728
RPSII_610(u)_M,1.1117754997188547,1.2169702823613637
RPSII_630(u)_M,0.0,19.549460227272725
RPSII_650(u)_M,0.0,194.23946350000003
RPSII_670(u)_M,0.0,0.0
RPSII_690(u)_M,0.0,0.0
CO2tex_M,19.980000000000388,22.2
H2Otex_M,0.0,0.0
Htex_M,-34.76536682991296,68.93854182477547
NO3tex_M,0.0,0.0
O2tex_M,0.0,230.1231937550407
Pitex_M,-14.734913363010387,47.806453996512275
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,0.0,0.0
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.06529411764706018
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,-28.88449625831903,21.819855334232102
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,14.20486063607197
PPASs_M,2.397674903209535,38.005638373326875
PPASm_M,0.0,0.0
PPASx_M,0.0,9.409041089560128
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,23.336502441803397
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.15002188587837076
APLm_M,0.0,0.0
CATv_M,0.0,21.35426898383314
CATs_M,0.0,0.0
CATx_M,0.0,9.553725693711343
CATm_M,0.0,12.940504963748296
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,1.4831177495721477
RBPCs_M,19.51138210745889,38.79949168369737
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,10.672464406783257
NO3Rm_M,0.0,0.4943725831907341
AOXm_M,0.0,19.003316391793412
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,0.0
ATPPHs_M,0.0,73.56567729454838
ATPSs_M,89.35525115738808,152.3667380374271
ATPSm_M,0.0,45.34164514133099
ATPSv_M,0.0,0.0
GLUSs_M,0.0,0.0
GLUSys_M,0.0,26.67202153722036
GTHRc_M,0.0,0.0
GTHRs_M,0.0,57.655514289315704
GTHRm_M,0.0,13.679025646271274
ADK1c_M,0.0,13.862181946683569
ADK1m_M,0.0,0.0
ADK1s_M,0.0,35.59683888006589
ATPAPc_M,0.0,15.580103739919105
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.11684210526315747
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-8.706033059402776,0.0
BUPNc_M,0.0,8.707537783865945
DHPDc_M,0.0,8.688628169311176
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,0.0
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,0.0
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,0.0,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.0
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,15.553661484309275
DCDTc_M,0.0,0.0
DUDTc_M,0.0,7.2021875597623595
TDSRs_M,0.0,0.0
TDSRc_M,0.0,7.202332380512056
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,15.660159179176977
DUMPKc_M,-8.689551510642891,15.671066908302768
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,12.913260339727593
ATCDs_M,0.0,12.913260339727636
CMPKc_M,0.0,12.9132603396037
CMPKs_M,0.0,0.3559482598973416
ATUDc_M,0.0,16.570106624455303
ATUDs_M,0.0,16.479291118970757
ATUDv_M,0.0,0.0
UMPKc_M,0.0,0.0
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.7399999999999035,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,0.4995688324777621
PYKc_M,0.0,37.57208036042289
PYKs_M,0.0,0.0
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.0
MDH2c_M,0.0,5.364271927227917
MDH2s_M,0.0,0.0
PDCm_M,0.0,0.0
PDCs_M,0.0,6.321893332588842
ACSc_M,0.0,9.259409251136425
ACSx_M,0.0,10.662491398862215
ACSs_M,0.0,10.888664241463614
GLU5Kc_M,0.0,0.038860151186687425
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,0.0
PYR5CDym_M,0.0,1.2661222222222221
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,22.60833577390491
AGATm_M,-18.67788715786206,11.831565116358492
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-55.336851720187056,0.0
ALAATm_M,-0.9887451663816788,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.0
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-8.687998530684032,0.11684210526315784
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.6683305449856687
GTHPs_M,0.0,0.0
GTHPc_M,0.0,20.625034245299823
GTHPm_M,0.0,13.800092365464955
UPGCDc_M,0.0,0.0
GALKc_M,-29.759947813163414,33.82103322122654
UGLTc_M,-23.725717378124102,33.49863451977284
THAc_M,0.0,0.0
THPc_M,0.0,0.0
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,18.254778052041704
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,0.0
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
ATGDs_M,0.0,24.28963859676466
GTPDPKs_M,0.0,0.0
GBDPs_M,0.0,0.0
GDTPs_M,0.0,0.0
