Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,-1e-07,1e-07
Straw_Biomass_M,-1e-07,1e-07
ACCOAC_OSAr_M,-1e-07,1e-07
ACPC_OSs_M,-1e-07,1e-07
FAC_Osc_M,-1e-07,1e-07
FAC_Osr_M,-1e-07,1e-07
EX_co2(e),-21.472561517250167,-21.47256131725019
EX_h2o(e),-1.0000296740410021e-07,1e-07
EX_h(e),-2.211718815757058,-2.2117186157486852
EX_no3(e),-0.0011169847042519156,-0.0011167847042519155
EX_o2(e),-142.93067156054354,1e-07
EX_pi(e),-1.0000317834647489e-07,1e-07
EX_sucr(e),-1e-07,1e-07
EX_fru-B(e),-1e-07,1e-07
EX_glc-A(e),-1e-07,1e-07
EX_so4(e),-1e-07,1e-07
EX_hco3(e),-1e-07,1e-07
EX_so3(e),-1e-07,1e-07
EX_h2s(e),-1e-07,1e-07
EX_nh4(e),-0.6199679305864786,-0.61996773058653
EX_asn-L(e),-1e-07,1e-07
EX_gln-L(e),-1e-07,1e-07
EX_etoh(e),-1e-07,1e-07
EX_ac(e),-1e-07,1e-07
EX_lac-L(e),-1e-07,1e-07
EX_tsul(e),-1e-07,1e-07
EX_fe2(e),-1e-07,1e-07
EX_fe3(e),-1e-07,1e-07
EX_mg2(e),-1e-07,1e-07
EX_ala-L(e),-1e-07,1e-07
EX_arg-L(e),-1e-07,1e-07
EX_asp-L(e),-1e-07,1e-07
EX_cys-L(e),-1e-07,1e-07
EX_glu-L(e),-1e-07,1e-07
EX_gly(e),-1e-07,1e-07
EX_his-L(e),-1e-07,1e-07
EX_ile-L(e),-1e-07,1e-07
EX_leu-L(e),-1e-07,1e-07
EX_lys-L(e),-1e-07,1e-07
EX_met-L(e),-1e-07,1e-07
EX_phe-L(e),-1e-07,1e-07
EX_pro-L(e),-1e-07,1e-07
EX_ser-L(e),-1e-07,1e-07
EX_thr-L(e),-1e-07,1e-07
EX_trp-L(e),-1e-07,1e-07
EX_tyr-L(e),-1e-07,1e-07
EX_val-L(e),-1e-07,1e-07
EX_photonVis(e),-775.0000001,-774.9999998999958
PRISM_blue_LED_M,-1e-07,1e-07
PRISM_red_LED_M,-1e-07,1e-07
PRISM_white_LED_M,704.5454544454514,704.5454546454545
PRISM_green_LED_M,-1e-07,1e-07
PRISM_solar_litho_M,-1e-07,1e-07
RPSI_410(u)_M,-1e-07,1e-07
RPSI_430(u)_M,1.9187554681712018,1.918755668181818
RPSI_450(u)_M,95.76754321808987,95.76754341818182
RPSI_470(u)_M,133.8438631953244,133.84386339545455
RPSI_490(u)_M,-1e-07,1.0003525713054841e-07
RPSI_510(u)_M,-1e-07,1.0001161026830232e-07
RPSI_530(u)_M,-1e-07,1e-07
RPSI_550(u)_M,-1e-07,9.99493205393719e-08
RPSI_570(u)_M,3.2353829428511065,3.2353831428863637
RPSI_590(u)_M,0.41228580909801266,0.4122860090909091
RPSI_610(u)_M,0.6184602074606149,0.6184604074295453
RPSI_630(u)_M,9.934971490889323,9.934971690909089
RPSI_650(u)_M,98.71185839999335,98.7118586
RPSI_670(u)_M,30.333006352113756,40.64699527503167
RPSI_690(u)_M,-1e-07,1.0000902700136862e-07
RPSII_410(u)_M,-1e-07,1e-07
RPSII_430(u)_M,-1e-07,1.0001162048235414e-07
RPSII_450(u)_M,-1e-07,1.0004755152026644e-07
RPSII_470(u)_M,-1e-07,1.0012761916815848e-07
RPSII_490(u)_M,35.501982649979205,35.501982850000005
RPSII_510(u)_M,103.97957919543838,103.97957939545455
RPSII_530(u)_M,93.03327910449877,93.03327930454546
RPSII_550(u)_M,22.123861490686874,22.123861690909095
RPSII_570(u)_M,-1e-07,1.0005525269131112e-07
RPSII_590(u)_M,-1e-07,1.0005146019175507e-07
RPSII_610(u)_M,-1e-07,1.0002470923465836e-07
RPSII_630(u)_M,-1e-07,1.0001740474431244e-07
RPSII_650(u)_M,-1e-07,1.0000653699316899e-07
RPSII_670(u)_M,62.49289195224105,72.8068808751321
RPSII_690(u)_M,2.295672299970563,2.295672499977272
CO2tex_M,21.472561317250182,21.47256151725016
H2Otex_M,-142.9306715604894,1e-07
Htex_M,-22.304964883895483,19.130748315147844
NO3tex_M,-1e-07,1e-07
O2tex_M,-1e-07,142.93067156054508
Pitex_M,-21.792446289974613,34.389049478139725
SUCRtex_M,-1e-07,1e-07
FRUtex_M,-1e-07,1e-07
GLCtex_M,-1e-07,1e-07
SO4tex_M,-1e-07,1e-07
SO3tex_M,-1e-07,1e-07
HCO3tex_M,-1e-07,1e-07
H2Stex_M,-1e-07,1.0000098567268005e-07
NH4tex_M,-1e-07,1e-07
ASNtex_M,-1e-07,1.0000101056663037e-07
GLNtex_M,-1e-07,1e-07
ETOHtex_M,-1e-07,1e-07
ACtex_M,-1e-07,1e-07
LACtex_M,-1e-07,1e-07
TSULtex_M,-1e-07,1e-07
FE2tex_M,-1e-07,1e-07
FE3tex_M,-1e-07,1e-07
MG2tex_M,-1e-07,1e-07
ALAtex_M,-1e-07,1e-07
ARGtex_M,-1e-07,1e-07
ASPtex_M,-1e-07,1e-07
CYStex_M,-1e-07,1e-07
GLUtex_M,-1e-07,1e-07
GLYtex_M,-143.18650950236122,142.93067156049062
HIStex_M,-1e-07,1e-07
ILEtex_M,-1e-07,1e-07
LEUtex_M,-1e-07,1e-07
LYStex_M,-1e-07,1e-07
METtex_M,-1e-07,1e-07
PHEtex_M,-1e-07,1e-07
PROtex_M,-1e-07,1e-07
SERtex_M,-1e-07,1e-07
THRtex_M,-1e-07,1e-07
TRPtex_M,-1e-07,1e-07
TYRtex_M,-1e-07,1e-07
VALtex_M,-1e-07,1e-07
PPASc_M,-1e-07,0.24682124608762002
PPASs_M,2.5767877687593135,3.0379264955638767
PPASm_M,-1e-07,1e-07
PPASx_M,-1e-07,1.0003400923986873e-07
PPAIcxc_M,-1e-07,0.24682124608238243
PPAIcvc_M,-1e-07,0.24682124612675937
APLs_M,-1e-07,0.02088549818477266
APLm_M,-1e-07,1e-07
CATv_M,-1e-07,0.7177889888888888
CATs_M,0.28045307658759316,0.35889454444531904
CATx_M,1.8862393093949736,4.300448815835233
CATm_M,-1e-07,0.717788988876552
GLUSfs_M,-1e-07,1e-07
RBPCs_M,22.80603303980774,25.802692395009053
RBPC2s_M,-1e-07,1e-07
CYOO6m_M,3.45169710319145,7.0208781104918705
NO3Rm_M,-1e-07,1.0000119193543923e-07
AOXm_M,-1e-07,1.0000466471306026e-07
ATPPHc_M,-1e-07,1.0000341848478413e-07
ATPPHm_M,-1e-07,1.0000580383046067e-07
ATPPHs_M,-1e-07,1e-07
ATPSs_M,102.14711181389049,104.67865975808371
ATPSm_M,9.451610738254422,19.763771692325975
GLUSs_M,-1e-07,0.20861549037494892
GLUSys_M,-1e-07,4.488717456537268
GTHRc_M,-1e-07,9.999601635325419e-08
GTHRs_M,-1e-07,9.999396970578309e-08
GTHRm_M,-1e-07,9.999646438375577e-08
ADK1c_M,-1e-07,0.03312627795825013
ADK1m_M,-1e-07,1e-07
ADK1s_M,-1e-07,0.4611386268081589
ATPAPc_M,-1e-07,1.0000814637246549e-07
ADPAc_M,-1e-07,1.0001638073010568e-07
GAL1PUTc_M,-1e-07,0.21369506817588574
DPCOAKc_M,-1e-07,1e-07
URIKGc_M,-1e-07,1e-07
URIKGs_M,-1e-07,0.4611386268079147
DHDHc_M,-0.4611386268081864,1.0000112987397216e-07
BUPNc_M,-1e-07,0.4611386267426331
DHPDc_M,-1e-07,0.4611386267426331
CYTDc_M,-1e-07,1e-07
GTPCYTDPTc_M,-1.000086792795173e-07,1.0002242828145426e-07
GTPCYTDPTs_M,-0.4611386268111078,1.0000082778228716e-07
DCTPDAc_M,-1e-07,1e-07
CTPRc_M,-1e-07,1e-07
UTPRc_M,-1e-07,1.0000140520928226e-07
ATPRc_M,-1e-07,1e-07
GTPRc_M,-1e-07,1e-07
DCAHc_M,-1e-07,1e-07
UPRTs_M,-1e-07,0.4611386268074822
UPRTc_M,-1.0000141553435639e-07,1.0000452970994047e-07
UPHc_M,-1.0000106936681731e-07,1e-07
UPHs_M,-0.4611386268101609,9.999659927585327e-08
DURIKc_M,-1e-07,9.999519673110626e-08
TMDKc_M,-1e-07,9.999506172798646e-08
ATCYc_M,-1e-07,9.999483080159734e-08
ATCYs_M,-1e-07,0.46113862680725415
AUPTc_M,-1e-07,1.0000246558329308e-07
AUPTs_M,-1e-07,0.46113862680890944
DGSNHc_M,-1e-07,1e-07
TPHc_M,-1e-07,1.0000174438241629e-07
DUMPc_M,-1.0000947508738136e-07,0.46113862681290213
DCMPc_M,-1e-07,1e-07
CMPc_M,-1e-07,1e-07
CMPs_M,-1e-07,1e-07
UMPc_M,-1e-07,1.0000114042109089e-07
UMPs_M,-1e-07,1.0000083577589293e-07
CTPSc_M,-1e-07,9.999806554740189e-08
DUTNHc_M,-1e-07,1e-07
DCDTc_M,-1e-07,1e-07
DUDTc_M,-1e-07,0.46113862680827383
TDSRs_M,-1e-07,1e-07
TDSRc_M,-1e-07,0.4611386268081576
ATDUDc_M,-1e-07,1e-07
DUMPKc_M,-0.4611386268081589,1e-07
ATDCDc_M,-1e-07,1e-07
DCMPKc_M,-1e-07,1e-07
ATCDc_M,-1e-07,1e-07
ATCDs_M,-1e-07,1e-07
CMPKc_M,-1e-07,1e-07
CMPKs_M,-1e-07,1e-07
ATUDc_M,-1e-07,0.2136950681833248
ATUDs_M,-1e-07,1e-07
UMPKc_M,-1e-07,0.4611386268071211
MATc_M,-1e-07,1.0000087159908919e-07
AMPDc_M,-1e-07,1.0000113686837721e-07
AMPPc_M,-1e-07,1.0001084998757505e-07
ADNKc_M,-1e-07,1.000012628786905e-07
APPRTc_M,-1.0000096100905011e-07,9.999851409138162e-08
APPRTs_M,-1e-07,1e-07
ADSHc_M,-1e-07,1.0000110519001357e-07
PEPSs_M,-1e-07,1.0000166267000167e-07
PYKc_M,-1e-07,1.000028563262866e-07
PYKs_M,-1e-07,0.07299525822630727
PPDKs_M,-1e-07,1.0000179056769411e-07
PPDKc_M,-1e-07,9.999766231439934e-08
MDH2c_M,-1e-07,1e-07
MDH2s_M,-1e-07,1e-07
PDCm_M,-1e-07,1e-07
PDCs_M,-1e-07,1e-07
ACSc_M,-1e-07,1.0000952255635455e-07
ACSx_M,-1e-07,1.0001186140075049e-07
ACSs_M,-1e-07,0.46113862680816153
GLU5Kc_M,-1e-07,0.037586901039221125
GLU5Ks_M,-1e-07,9.999917843496177e-08
GDHym_M,-1e-07,1e-07
GDHm_M,-1e-07,1e-07
PYR5CDm_M,-1e-07,1.0000226523561813e-07
PYR5CDs_M,-1e-07,1.0000084554585555e-07
PYR5CDym_M,-1e-07,1.000019199060744e-07
PYR5CDys_M,-1e-07,1.0000082422957348e-07
GALc_M,-1e-07,0.033126277915583126
GALs_M,-1e-07,4.61142686224566
AGATm_M,-0.8262784857246329,5.719810322769807
AGATx_M,-1e-07,1e-07
AGATs_M,-1e-07,1e-07
ALAATc_M,-75.29336372457588,69.54760757637503
ALAATm_M,-1e-07,1e-07
ALAATs_M,-1e-07,1e-07
AAATc_M,-1e-07,9.999914868098471e-08
ARGDs_M,-1e-07,1e-07
ARGDc_M,-1e-07,1e-07
ARGDm_M,-1e-07,1e-07
ASPCLc_M,-0.4611386268090853,1e-07
ICDHc_M,-1e-07,1e-07
ICDHm_M,-0.03909374681653663,0.15688263570254807
GTHPs_M,-1e-07,1e-07
GTHPc_M,-1e-07,1.0000364508423444e-07
GTHPm_M,-1e-07,1.0000117772458452e-07
UPGCDc_M,-1e-07,1e-07
GALKc_M,-21.466279928065262,19.70322787295034
UGLTc_M,-21.673255886160096,19.703227872950308
THAc_M,-1e-07,1.0000145139456009e-07
THPc_M,-1e-07,1.0000138389300019e-07
TPSc_M,-1e-07,1.0000153665968838e-07
GLCNSc_M,-1e-07,1e-07
GLCNGBc_M,-1e-07,1e-07
GLCNGAc_M,-1e-07,1e-07
GALUic_M,-1e-07,0.21369506818161507
MTGHc_M,-1e-07,1.0000434177138686e-07
MGHAc_M,-1e-07,1e-07
MGHBc_M,-1e-07,1.0000569500002711e-07
SFHc_M,-1e-07,1e-07
RGHc_M,-1e-07,1.0000436983782492e-07
SYGHc_M,-1e-07,9.99986926013662e-08
GRGTc_M,-1e-07,1e-07
RAFFINSc_M,-1e-07,9.99986926013662e-08
IAGTc_M,-1e-07,1e-07
UDPG4Ec_M,-107.19800369561601,107.26584412030986
ATGDc_M,-1e-07,9.999423749841298e-08
ATGDs_M,-1e-07,0.4611386268074101
GTPDPKs_M,-1e-07,1e-07
GBDPs_M,-1e-07,1e-07
GDTPs_M,-1e-07,1e-07
ATDADc_M,-1e-07,1e-07
ATDGDc_M,-1e-07,1e-07
PPCKc_M,-1e-07,1e-07
MDHys_M,-0.20861549038436306,0.19521287396511866
MDHs_M,-214.39600729082457,1e-07
MDHc_M,-13.028639381362348,1e-07
MDHx_M,2.0301370956752,3.703831828650338
MDHm_M,-1e-07,9.095335971200567
PPCc_M,-1e-07,1e-07
ATPCSc_M,4.96449562262901,9.797668282186654
CSx_M,-1e-07,0.2983085936100272
CSm_M,4.827823516346549,9.65624232425309
OXAACc_M,-1e-07,1e-07
OXAODc_M,-1e-07,1e-07
NNATc_M,-1e-07,1e-07
NADS(nh4)c_M,-1e-07,1e-07
NADS(gln-L)c_M,-1e-07,1e-07
NAMNPPc_M,-1e-07,1e-07
NNAMc_M,-1e-07,1e-07
NMNDAc_M,-1e-07,1e-07
NMNNc_M,-1e-07,1e-07
NMNATc_M,-1e-07,1e-07
N2PHs_M,-1e-07,1e-07
N2PHc_M,-1e-07,1e-07
NADKc_M,-1e-07,1e-07
NADKs_M,-1e-07,1e-07
NADKm_M,-1e-07,1e-07
NADHKc_M,-1e-07,1e-07
NADHKs_M,-1e-07,1e-07
NADHKm_M,-1e-07,1e-07
ASPTAc_M,-13.433760780613435,4.658620423736191
ASPTAm_M,-1e-07,1e-07
ASPTAs_M,-1.0000440539271728e-07,1e-07
GLYTAx_M,-1e-07,1.0000857358628536e-07
LYSDCs_M,-1e-07,1e-07
AASADc_M,-1e-07,1e-07
SACCDyc_M,-1e-07,1e-07
SACCDc_M,-1e-07,1e-07
AATAc_M,-1e-07,1e-07
PDHam1m_M,-1e-07,1e-07
PDHam2m_M,-1e-07,1e-07
PDHe2m_M,-1e-07,1e-07
PDHe3m_M,-1e-07,1e-07
PDHam1s_M,-1e-07,0.027939506898504943
PDHam2s_M,-1e-07,1.0006708660016396e-07
PDHe2s_M,-1e-07,1.0000181943349275e-07
PDHe3s_M,-1e-07,1.0000181943349275e-07
OXADH1m_M,-1e-07,1.000017305878952e-07
OXADH2m_M,-1e-07,1.000017476055325e-07
DAPDCs_M,-1e-07,0.017842592488977967
MALSs_M,-1e-07,1e-07
MALSx_M,-1e-07,0.2983085936097278
