Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,-1e-09,1e-09
Straw_Biomass_M,-1e-09,1e-09
ACCOAC_OSAc_M,-1e-09,1e-09
ACCOAC_OSAr_M,-1e-09,1e-09
ACPC_OSs_M,-1e-09,1e-09
ACPC_OSm_M,-1e-09,1e-09
FAC_Osc_M,-1e-09,1e-09
FAC_Osr_M,-1e-09,1e-09
EX_co2(e),-7.399763167604216,-7.399763165604209
EX_h2o(e),-1.0029592439609872e-09,1e-09
EX_h(e),-0.7621910768446921,-0.7621910748392658
EX_no3(e),-0.0003848960358212698,-0.0003848940348811621
EX_o2(e),-51.17798262635401,1e-09
EX_pi(e),-1e-09,1e-09
EX_sucr(e),-1e-09,1e-09
EX_fru-B(e),-1e-09,1e-09
EX_glc-A(e),-1e-09,1e-09
EX_so4(e),-1e-09,1e-09
EX_hco3(e),-1e-09,1e-09
EX_so3(e),-1e-09,1e-09
EX_h2s(e),-1e-09,1e-09
EX_nh4(e),-0.21365011139696297,-0.21365010939474585
EX_asn-L(e),-1e-09,1e-09
EX_gln-L(e),-1e-09,1e-09
EX_etoh(e),-1e-09,1e-09
EX_ac(e),-1e-09,1e-09
EX_lac-L(e),-1e-09,1e-09
EX_tsul(e),-1e-09,1e-09
EX_fe2(e),-1e-09,1e-09
EX_fe3(e),-1e-09,1e-09
EX_mg2(e),-1e-09,1e-09
EX_ala-L(e),-1e-09,1e-09
EX_arg-L(e),-1e-09,1e-09
EX_asp-L(e),-1e-09,1e-09
EX_cys-L(e),-1e-09,1e-09
EX_glu-L(e),-1e-09,1e-09
EX_gly(e),-1e-09,1e-09
EX_his-L(e),-1e-09,1e-09
EX_ile-L(e),-1e-09,1e-09
EX_leu-L(e),-1e-09,1e-09
EX_lys-L(e),-1e-09,1e-09
EX_met-L(e),-1e-09,1e-09
EX_phe-L(e),-1e-09,1e-09
EX_pro-L(e),-1e-09,1e-09
EX_ser-L(e),-1e-09,1e-09
EX_thr-L(e),-1e-09,1e-09
EX_trp-L(e),-1e-09,1e-09
EX_tyr-L(e),-1e-09,1e-09
EX_val-L(e),-1e-09,1e-09
EX_photonVis(e),-275.000000001,-274.99999999899705
