Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,29.24260845270993
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,15.911618181728747
FAC_Osr_M,0.0,29.242608452710122
EX_co2(e),-29.0,0.0
EX_h2o(e),-409.4237814417717,0.0
EX_h(e),-556.663230297408,-78.1207876501514
EX_no3(e),-11.12038691526871,0.0
EX_o2(e),-521.0324049551631,-85.86629514817491
EX_pi(e),-25.24682288681534,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.5500000000000448,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.5500000000000378,0.0
EX_h2s(e),-0.5500000000000385,0.0
EX_nh4(e),-21.155038405133293,0.0
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.30197726445781775,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,3.3518805709637927,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545455
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,0.0
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,5.857537148597639,6.366398890840909
RPSI_590(u)_M,0.48473331299094435,0.8112722727272728
RPSI_610(u)_M,0.8770683863634562,1.2169702823613637
RPSI_630(u)_M,0.0,19.549460227272725
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,0.0,202.95268131818182
RPSI_690(u)_M,0.0,4.517290851568182
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,3.352149646529277
RPSII_450(u)_M,0.0,188.44581104545455
RPSII_470(u)_M,0.0,263.37018261363636
RPSII_490(u)_M,67.30163774240648,69.85874025
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636366
RPSII_550(u)_M,0.0,43.53405022727273
RPSII_570(u)_M,0.0,6.36639889084091
RPSII_590(u)_M,0.0,0.0
RPSII_610(u)_M,0.0,0.0
RPSII_630(u)_M,0.0,0.0
RPSII_650(u)_M,0.0,194.23946350000003
RPSII_670(u)_M,0.0,202.95268131818182
RPSII_690(u)_M,0.0,4.517290851568182
CO2tex_M,0.0,29.0
H2Otex_M,0.0,0.0
Htex_M,62.56402385920691,544.5071673194392
NO3tex_M,0.0,0.0
O2tex_M,85.86629514817504,521.0324049549937
Pitex_M,-65.13356823088385,151.53385307275803
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,-20.104202337887312,22.746884225407122
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.3003272899911874
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,-89.3616557636742,54.03956341405175
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,64.30818951853253
PPASs_M,11.992567920139173,63.424402746099005
PPASm_M,0.0,0.0
PPASx_M,0.0,0.0
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,56.07530671282774
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.7532912764898575
APLm_M,0.0,0.7592029686406372
CATv_M,0.0,33.51728236948692
CATs_M,0.0,0.0
CATx_M,10.997378809165138,26.408964420343263
CATm_M,0.0,40.32593925940063
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,32.67840276628261
RBPCs_M,85.84597938476998,132.0
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,69.40951832674673
NO3Rm_M,0.0,16.18224509792612
AOXm_M,0.0,104.53830053705451
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,177.627098637473
ATPPHs_M,0.0,0.0
ATPSs_M,169.27321349177174,317.7677146154572
ATPSm_M,91.98874427117362,304.6261383379031
ATPSv_M,0.0,0.0
GLUSs_M,0.0,54.29785343755389
GLUSys_M,0.0,0.0
GTHRc_M,0.0,57.99521335553247
GTHRs_M,0.0,85.84041628525222
GTHRm_M,0.0,0.0
ADK1c_M,0.0,68.03657848769956
ADK1m_M,0.0,0.0
ADK1s_M,0.0,0.0
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.5500000000000482
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-7.112626878817029,0.0
BUPNc_M,0.0,7.121505601650448
DHPDc_M,0.0,7.1263036920032174
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,7.304339424880777
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,9.085519670015795
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-9.085519670015842,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.0
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,0.0
DCDTc_M,0.0,0.0
DUDTc_M,0.0,7.671681725923721
TDSRs_M,0.0,0.0
TDSRc_M,0.0,7.665415140140169
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,0.0
DUMPKc_M,-7.677343125281441,0.0
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,25.21212842283805
ATCDs_M,0.0,21.5778899221919
CMPKc_M,0.0,25.21212842283773
CMPKs_M,0.0,1.833333333333525
ATUDc_M,0.0,58.65316042538723
ATUDs_M,0.0,0.0
ATUDv_M,0.0,0.0
UMPKc_M,0.0,0.0
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-3.3121996459367216,0.0
ADSHc_M,-4.490595596612687,0.0
PEPSs_M,0.0,0.0
PYKc_M,0.0,19.218714120754644
PYKs_M,0.0,7.983058385392676
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.0
MDH2c_M,0.0,7.867188163941956
MDH2s_M,0.0,0.0
PDCm_M,0.0,7.333333333333812
PDCs_M,0.0,7.333333333332486
ACSc_M,0.0,23.328073344323315
ACSx_M,0.0,0.0
ACSs_M,0.0,23.585511306274377
GLU5Kc_M,0.0,0.17130196319397378
GLU5Ks_M,0.0,0.0
GDHym_M,-38.53450555447736,0.0
GDHm_M,-89.18240677706112,0.0
PYR5CDm_M,0.0,7.332619282509328
PYR5CDs_M,0.0,61.66444285883861
PYR5CDym_M,0.0,0.0
PYR5CDys_M,0.0,0.0
GALc_M,0.0,38.83195635042585
GALm_M,0.0,0.0
GALs_M,0.0,54.80510035257425
AGATm_M,-38.4407102332502,87.06607574053385
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-80.56212271886704,176.02325932531977
ALAATm_M,-72.10396281372742,69.38652323619966
ALAATs_M,0.0,0.0
AAATc_M,0.0,4.3327365436842165
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-7.121505601656111,0.5500000000000523
ICDHc_M,-76.9629618753576,0.0
ICDHm_M,0.0,36.23363814445109
GTHPs_M,0.0,74.06793266595147
GTHPc_M,0.0,57.92874246880676
GTHPm_M,0.0,0.0
UPGCDc_M,0.0,0.0
GALKc_M,-58.08367196395179,89.10569760444184
UGLTc_M,-58.24232977609197,89.10569760439651
THAc_M,0.0,35.5135674900802
THPc_M,0.0,35.155077253558474
TPSc_M,0.0,36.91664900680714
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,58.42628395701872
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,0.0
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
