Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,14.684260870345597
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,8.179887737007554
FAC_Osr_M,0.0,14.684260870345645
EX_co2(e),-29.0,-26.100000000000197
EX_h2o(e),-244.68747520872694,0.0
EX_h(e),-75.85574915336014,0.0
EX_no3(e),-0.6458020230869758,0.0
EX_o2(e),-238.57725191221024,0.0
EX_pi(e),-13.42346282763064,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.15263157894736806,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.15263157894736798,0.0
EX_h2s(e),-0.1526315789473689,0.0
EX_nh4(e),-5.588264743428942,-0.7535738314530253
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.08529411764706563,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,3.566530995989303,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545455
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,183.06548488636366
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,0.0,0.0
RPSI_590(u)_M,0.0,0.8112722727272728
RPSI_610(u)_M,0.0,1.2169702823613637
RPSI_630(u)_M,0.0,0.0
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,0.0,202.95268131818182
RPSI_690(u)_M,4.283888837148396,4.517290851568182
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,0.0
RPSII_450(u)_M,0.0,188.44581104545455
RPSII_470(u)_M,0.0,263.3701826136364
RPSII_490(u)_M,0.0,0.0
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636363
RPSII_550(u)_M,0.0,43.53405022727273
RPSII_570(u)_M,0.0,6.36639889084091
RPSII_590(u)_M,0.0,0.8112722727272728
RPSII_610(u)_M,1.0917754997188536,1.2169702823613635
RPSII_630(u)_M,0.0,19.549460227272725
RPSII_650(u)_M,0.0,194.23946350000003
RPSII_670(u)_M,0.0,202.95268131818182
RPSII_690(u)_M,0.0,4.517290851568182
CO2tex_M,26.099999999999916,29.0
H2Otex_M,0.0,0.0
Htex_M,-43.714121257959206,75.21005362875796
NO3tex_M,0.0,0.0
O2tex_M,0.0,238.5772519122091
Pitex_M,-13.750883259842452,51.97079363015206
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,-1.2916040461739575,0.0
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.08529411764704298
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,-29.109861400495188,23.760333630287143
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,8.355559309836288
PPASs_M,3.132097846534978,55.10177958197046
PPASm_M,0.0,0.0
PPASx_M,0.0,9.168995873697732
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,26.48808131042764
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.1959745356068821
APLm_M,0.0,0.0
CATv_M,0.0,17.505364561985466
CATs_M,0.0,76.84385401599519
CATx_M,0.0,9.551120459758042
CATm_M,0.0,7.378357761332012
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,1.9374060692609596
RBPCs_M,25.622984333856554,49.51497846369858
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,12.44051909987394
NO3Rm_M,0.0,0.0
AOXm_M,0.0,31.161224143086322
ATPPHc_M,0.0,29.30206386555534
ATPPHm_M,0.0,36.31185753446338
ATPPHs_M,0.0,28.188197017085088
ATPSs_M,116.58855145189997,253.67213513754655
ATPSm_M,0.0,37.470682331707906
ATPSv_M,0.0,0.0
GLUSs_M,0.0,0.0
GLUSys_M,0.0,37.49060208305794
GTHRc_M,0.0,49.381480215360966
GTHRs_M,0.0,50.909430572457495
GTHRm_M,0.0,8.526214731830406
ADK1c_M,0.0,0.0
ADK1m_M,0.0,0.0
ADK1s_M,0.0,14.74832366386313
ATPAPc_M,0.0,14.651272693270714
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.15263157894736845
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-8.040756582377373,0.0
BUPNc_M,0.0,7.663878542327037
DHPDc_M,0.0,8.047352059475575
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,0.0
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,0.0
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,0.0,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.0
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,0.0
DCDTc_M,0.0,0.0
DUDTc_M,0.0,7.749886593163331
TDSRs_M,0.0,0.0
TDSRc_M,0.0,7.663878542327096
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,18.959129342514565
DUMPKc_M,-7.674217778310179,0.0
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,13.410971206203634
ATCDs_M,0.0,13.410971206203541
CMPKc_M,0.0,13.410971206203538
CMPKs_M,0.0,0.4649774566226763
ATUDc_M,0.0,20.805053939467292
ATUDs_M,0.0,20.24487371470282
ATUDv_M,0.0,0.0
UMPKc_M,0.0,0.0
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.9666666666667081,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,27.21730221950113
PYKc_M,0.0,12.78697681758446
PYKs_M,0.0,6.1015553269841565
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.0
MDH2c_M,0.0,5.95892760182053
MDH2s_M,0.0,6.382366870469493
PDCm_M,0.0,0.0
PDCs_M,0.0,0.0
ACSc_M,0.0,8.812959939273426
ACSx_M,0.0,9.242645021997465
ACSs_M,0.0,11.131158725100173
GLU5Kc_M,0.0,0.04473891776973389
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,37.68046752520471
PYR5CDym_M,0.0,0.0
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,38.24470830129404
AGATm_M,-25.664548979349842,12.897692914810513
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-56.92978576961927,0.0
ALAATm_M,0.0,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.04473891776973384
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-7.520898149866278,0.15263157894736132
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.0
GTHPs_M,0.0,0.0
GTHPc_M,0.0,37.341339044745546
GTHPm_M,0.0,7.559938178003451
UPGCDc_M,0.0,0.0
GALKc_M,-28.6514202372926,37.61933587433176
UGLTc_M,-28.248818972648717,37.61933587397882
THAc_M,0.0,0.0
THPc_M,0.0,0.0
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,22.981575156761014
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,21.092161506642167
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
ATGDs_M,0.0,12.381625199260778
GTPDPKs_M,0.0,0.0
GBDPs_M,0.0,0.0
