Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,14.874409587799594
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,8.284711709355957
FAC_Osr_M,0.0,14.874409587799652
EX_co2(e),-22.2,-19.979999999999997
EX_h2o(e),-235.95954399490998,0.0
EX_h(e),-74.61384809188236,0.0
EX_no3(e),-0.4943725831907256,0.0
EX_o2(e),-231.0658585972824,0.0
EX_pi(e),-13.58573301408773,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.11684210526315761,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.1168421052631583,0.0
EX_h2s(e),-0.11684210526315807,0.0
EX_nh4(e),-4.277913010486965,-0.5768737606295588
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.06529411764705922,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,0.0,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545455
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,183.06548488636366
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,0.0,6.36639889084091
RPSI_590(u)_M,0.7193790641711226,0.8112722727272728
RPSI_610(u)_M,0.0,0.0
RPSI_630(u)_M,0.0,19.549460227272725
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,0.0,202.95268131818182
RPSI_690(u)_M,0.0,4.517290851568182
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,0.0
RPSII_450(u)_M,0.0,188.44581104545455
RPSII_470(u)_M,0.0,263.37018261363636
RPSII_490(u)_M,0.0,69.85874025
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636366
RPSII_550(u)_M,42.04141020053476,43.53405022727273
RPSII_570(u)_M,0.0,0.0
RPSII_590(u)_M,0.0,0.0
RPSII_610(u)_M,1.111775499718851,1.2169702823613637
RPSII_630(u)_M,0.0,19.549460227272725
RPSII_650(u)_M,0.0,194.23946350000003
RPSII_670(u)_M,0.0,202.95268131818182
RPSII_690(u)_M,0.0,4.517290851568182
CO2tex_M,19.979999999999897,22.2
H2Otex_M,0.0,0.0
Htex_M,-42.21445929477483,74.53843636844655
NO3tex_M,0.0,0.0
O2tex_M,0.0,231.06585859728003
Pitex_M,-15.224993509893249,47.200646290999316
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,0.0,0.9887451663814701
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.06529411764706133
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,0.0,0.0
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,0.0
PPASs_M,2.397674903209536,37.61100687402448
PPASm_M,0.0,0.0
PPASx_M,0.0,7.724975212178489
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,21.972235668527002
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.15002188587837043
APLm_M,0.0,0.0
CATv_M,0.0,19.238380963789304
CATs_M,0.0,75.03017049685475
CATx_M,0.0,8.466134202572366
CATm_M,0.0,12.478703086604737
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,1.4831177495727184
RBPCs_M,20.243217613830943,40.23843789340056
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,12.926319203533666
NO3Rm_M,0.0,0.0
AOXm_M,0.0,30.688854361864482
ATPPHc_M,0.0,25.086269766327902
ATPPHm_M,0.0,35.1299334568437
ATPPHs_M,0.0,58.92996243327124
ATPSs_M,90.61400216174643,207.043339662229
ATPSm_M,0.0,40.48954623066119
ATPSv_M,0.0,0.0
GLUSs_M,0.0,0.0
GLUSys_M,0.0,42.81514912774633
GTHRc_M,0.0,46.79960619921711
GTHRs_M,0.0,57.77093951784188
GTHRm_M,0.0,10.624121192640334
ADK1c_M,0.0,14.838887924330782
ADK1m_M,0.0,0.0
ADK1s_M,0.0,33.42469567504277
ATPAPc_M,0.0,10.925803748755087
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.11684210526315934
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-8.519019406994486,0.0
BUPNc_M,0.0,8.610197764597398
DHPDc_M,0.0,8.519019407001995
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,6.086817609190053
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,0.0
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,0.0,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,5.6696394220771715
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,16.129761654268133
DCDTc_M,0.0,0.0
DUDTc_M,0.0,8.593001489468756
TDSRs_M,0.0,0.0
TDSRc_M,0.0,8.61019776458971
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,17.313239833632938
DUMPKc_M,-8.593444869931574,16.28708871341501
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,13.576373718705392
ATCDs_M,0.0,13.576373718583808
CMPKc_M,0.0,13.576373718705456
CMPKs_M,0.0,0.3559482598973304
ATUDc_M,0.0,18.253630299993826
ATUDs_M,0.0,18.276298855780297
ATUDv_M,0.0,0.0
UMPKc_M,0.0,0.0
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.7399999999999329,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,0.49956883247774975
PYKc_M,0.0,9.214106456470923
PYKs_M,0.0,0.0
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.31
MDH2c_M,0.0,9.222879395944501
MDH2s_M,0.0,0.0
PDCm_M,0.0,0.0
PDCs_M,0.0,8.665702123818058
ACSc_M,0.0,9.59631789711851
ACSx_M,0.0,7.926536125370705
ACSs_M,0.0,0.0
GLU5Kc_M,0.0,0.03886015118668767
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,0.0
PYR5CDym_M,0.0,0.0
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,44.063654804068044
AGATm_M,-6.299956047381825,12.738071253959578
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-54.25517354736417,0.0
ALAATm_M,-0.988745166381468,0.6
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.03424841291338248
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-8.59344486993886,0.11684210526315851
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.9638723406513041
GTHPs_M,0.0,0.0
GTHPc_M,0.0,36.94168248212084
GTHPm_M,0.0,10.622566899234325
UPGCDc_M,0.0,0.0
GALKc_M,-29.685573920142858,37.58619574067854
UGLTc_M,-24.439181323492225,34.8211659496979
THAc_M,0.0,0.0
THPc_M,0.0,0.0
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,18.330809896588843
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,0.0
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
ATGDs_M,0.0,21.2897409958566
GTPDPKs_M,0.0,0.0
GBDPs_M,0.0,0.0
