Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,1.260541022404425
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,0.6986539422254636
FAC_Osr_M,0.0,1.2605410224043854
EX_co2(e),-6.942333534371992,-6.234743834715324
EX_h2o(e),-46.18132120369821,0.0
EX_h(e),-8.833086334952124,0.0
EX_no3(e),-0.15229153550001148,0.0
EX_o2(e),-44.49034564031457,0.0
EX_pi(e),-1.1287027062632395,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.03155382390913004,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.03148138289738357,0.0
EX_h2s(e),-0.03166311268744845,0.0
EX_nh4(e),-1.285270209210783,-0.18001301914385287
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.016079303460302084,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-275.0,-250.7724140882818
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,227.9749218984173,250.0
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,0.620865762423599,0.6808487499999999
RPSI_450(u)_M,0.0,33.982031500000005
RPSI_470(u)_M,2.5143697127041005,47.49298375
RPSI_490(u)_M,0.0,12.59747775
RPSI_510(u)_M,0.0,36.89597975
RPSI_530(u)_M,0.0,33.01180875
RPSI_550(u)_M,0.0,7.850402500000001
RPSI_570(u)_M,1.0468965369869747,1.14803914425
RPSI_590(u)_M,0.12956000786664995,0.14629499999999998
RPSI_610(u)_M,0.20011972169275957,0.21945365747499998
RPSI_630(u)_M,0.0,3.5253125
RPSI_650(u)_M,0.0,35.0267885
RPSI_670(u)_M,0.0,36.5980245
RPSI_690(u)_M,0.0,0.0
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,0.6214460241739889
RPSII_450(u)_M,0.0,33.982031500000005
RPSII_470(u)_M,0.0,47.49298375
RPSII_490(u)_M,0.0,12.59747775
RPSII_510(u)_M,0.0,36.89597975
RPSII_530(u)_M,0.0,33.01180875
RPSII_550(u)_M,0.0,7.850402500000001
RPSII_570(u)_M,0.0,1.14803914425
RPSII_590(u)_M,0.0,0.0
RPSII_610(u)_M,0.0,1000000.0
RPSII_630(u)_M,0.0,3.5253125
RPSII_650(u)_M,0.0,35.0267885
RPSII_670(u)_M,0.0,36.5980245
RPSII_690(u)_M,0.0,0.8145934322499999
CO2tex_M,6.234743834715347,6.9423335343719845
H2Otex_M,0.0,0.0
Htex_M,-8.065249717007417,9.566956563928024
NO3tex_M,0.0,0.0
O2tex_M,0.0,44.490345640316974
Pitex_M,-4.174123165743702,9.407378173040948
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,0.0,0.2575709613666452
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.016079176647883553
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,0.0,0.0
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,0.0
PPASs_M,0.7481926336555209,3.5523753237523716
PPASm_M,0.0,0.0
PPASx_M,0.0,0.6095086899924904
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,2.430709611222129
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.03935111718170238
APLm_M,0.0,0.0
CATv_M,0.0,0.0
CATs_M,0.0,6.951250903172152
CATx_M,0.0,1.5536633178835881
CATm_M,0.0,1.5745884779255372
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,0.41807671143446407
RBPCs_M,6.028828430425124,8.819030625804743
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,3.652819390416479
NO3Rm_M,0.0,0.0
AOXm_M,0.0,4.076559186723417
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,0.0
ATPPHs_M,0.0,0.0
ATPSs_M,31.005641016540352,41.06814388302247
ATPSm_M,0.0,9.661540479453816
ATPSv_M,0.0,0.0
GLUSs_M,0.0,1.0911434958234125
GLUSys_M,0.0,3.7595800299922537
GTHRc_M,0.0,3.5414245800089335
GTHRs_M,0.0,0.0
GTHRm_M,0.0,1.037883820539605
ADK1c_M,0.0,2.334831931397517
ADK1m_M,0.0,0.0
ADK1s_M,0.0,1.8868863658690482
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.0313646731501564
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-1.0322305442511344,0.0
BUPNc_M,0.0,1.0322449089150296
DHPDc_M,0.0,1.0277533561029701
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,0.6302260432445138
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.5295465817233069
UPRTs_M,0.0,1.0330694261133067
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-1.033073892940892,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.5919980740667966
DCMPc_M,0.0,0.5295465817234636
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,2.024135005306114
DCDTc_M,0.0,0.5297225046282203
DUDTc_M,0.0,1.0277601897370314
TDSRs_M,0.0,0.0
TDSRc_M,0.0,1.0277587371785661
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,1.8325569409849585
DUMPKc_M,-1.0322449089150203,1.9817554446109336
ATDCDc_M,0.0,0.0
DCMPKc_M,-0.5295465817232989,0.0
ATCDc_M,0.0,1.1203600084247536
ATCDs_M,0.0,1.1203600084245524
CMPKc_M,0.0,1.1203600084246055
CMPKs_M,0.0,0.09282612296756328
ATUDc_M,0.0,2.143361760106326
ATUDs_M,0.0,2.1433617601063357
ATUDv_M,0.0,0.0
UMPKc_M,0.0,1.0365412570666492
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.2210165596605727,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,0.10534874135578853
PYKc_M,0.0,2.3545511941593387
PYKs_M,0.0,0.0
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.31
MDH2c_M,0.0,0.0
MDH2s_M,0.0,0.0
PDCm_M,0.0,0.0
PDCs_M,0.0,0.0
ACSc_M,0.0,0.9263025740459708
ACSx_M,0.0,0.6094998438594997
ACSs_M,0.0,1.4078658728956799
GLU5Kc_M,0.0,0.011983773914568391
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,0.0
PYR5CDym_M,0.0,0.6459387630320088
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,3.873502970190731
AGATm_M,-2.036405619359231,2.0366161746787568
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-4.837003435334027,0.0
ALAATm_M,-0.27446652169005104,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.010338537494215875
ARGDs_M,0.0,0.44001140366081865
ARGDc_M,0.0,0.4486060074948053
ARGDm_M,0.0,0.44969372762327486
ASPCLc_M,-1.0322449089150503,0.031241795399878036
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.4502877436571987
GTHPs_M,0.0,0.0
GTHPc_M,0.0,0.0
GTHPm_M,0.0,0.9793286811637009
UPGCDc_M,0.0,0.0
GALKc_M,-3.1334559443370646,5.002174612379844
UGLTc_M,-3.630168459535067,5.1279753194811075
THAc_M,0.0,0.0
THPc_M,0.0,0.9606173850336112
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,2.1415205925603726
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,1.0630294441045463
IAGTc_M,0.0,1.309486654165105
UDPG4Ec_M,0.0,0.0
