Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,4.192600333991168
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,2.3169041099564307
FAC_Osr_M,0.0,4.19260033399111
EX_co2(e),-20.718167139201817,-18.576490974973325
EX_h2o(e),-132.4278311190278,0.0
EX_h(e),-30.885482462806976,0.0
EX_no3(e),-0.47389761723699486,0.0
EX_o2(e),-127.85042033758377,0.0
EX_pi(e),-3.668315662225532,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.0940149813068472,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.0937991424791017,0.0
EX_h2s(e),-0.09434060847903807,0.0
EX_nh4(e),-3.9120660152808644,-0.5363508612629505
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.04507866266416761,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-775.0,-725.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,659.0909090909091,704.5454545454545
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,0.0,1.7793967752055326
RPSI_450(u)_M,0.0,95.76754331818182
RPSI_470(u)_M,0.0,133.84386329545455
RPSI_490(u)_M,0.0,35.50198275
RPSI_510(u)_M,0.0,103.97957929545456
RPSI_530(u)_M,0.0,93.03327920454547
RPSI_550(u)_M,0.0,22.123861590909094
RPSI_570(u)_M,0.0,3.235383042886364
RPSI_590(u)_M,0.0,0.4122859090909091
RPSI_610(u)_M,0.5629776775358241,0.6184603074295454
RPSI_630(u)_M,0.0,9.93497159090909
RPSI_650(u)_M,0.0,98.7118585
RPSI_670(u)_M,0.0,103.13988722727272
RPSI_690(u)_M,0.0,0.0
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,1.779865516750823,1.918755568181818
RPSII_450(u)_M,0.0,95.76754331818182
RPSII_470(u)_M,0.0,133.84386329545455
RPSII_490(u)_M,0.0,35.50198275
RPSII_510(u)_M,0.0,103.97957929545456
RPSII_530(u)_M,0.0,93.03327920454547
RPSII_550(u)_M,20.680929787032092,22.123861590909094
RPSII_570(u)_M,0.0,0.0
RPSII_590(u)_M,0.0,0.0
RPSII_610(u)_M,0.0,0.0
RPSII_630(u)_M,0.0,9.93497159090909
RPSII_650(u)_M,0.0,98.7118585
RPSII_670(u)_M,0.0,103.13988722727272
RPSII_690(u)_M,0.0,2.2956723999772723
CO2tex_M,18.576490974972653,20.718167139201825
H2Otex_M,0.0,0.0
Htex_M,-17.070442217944578,32.47934509171173
NO3tex_M,0.0,0.0
O2tex_M,0.0,127.85042033758164
Pitex_M,-12.264365773598474,28.6775429556535
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,-0.8209331721818492,0.8209331721819297
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.04507866266416762
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,0.0,0.0
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,0.0
PPASs_M,2.2292485585781407,11.10976701949132
PPASm_M,0.0,0.0
PPASx_M,0.0,2.5422314014647096
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,7.371643582127488
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.11732110998540488
APLm_M,0.0,0.0
CATv_M,0.0,0.0
CATs_M,0.0,20.557242258839977
CATx_M,0.0,4.625347764672315
CATm_M,0.0,4.768548730702009
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,1.062050477043449
RBPCs_M,17.793645924406064,25.393559632285776
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,8.858339557138335
NO3Rm_M,0.0,0.0
AOXm_M,0.0,14.412103281655714
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,11.36160062582389
ATPPHs_M,0.0,0.0
ATPSs_M,93.35035322199006,115.55966436042749
ATPSm_M,0.0,17.004881234242404
ATPSv_M,0.0,0.0
GLUSs_M,0.0,0.0
GLUSys_M,0.0,10.990319300785997
GTHRc_M,0.0,10.554690814715995
GTHRs_M,0.0,0.0
GTHRm_M,0.0,2.7023956623407317
ADK1c_M,0.0,7.181335132854114
ADK1m_M,0.0,0.0
ADK1s_M,0.0,11.403034701797123
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.09345140444470751
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-2.666284700511219,0.0
BUPNc_M,0.0,2.6686579525025755
DHPDc_M,0.0,2.6686579525024703
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,1.9532310929851868
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,2.678060218033047
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-2.6780602180329245,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,1.9066758370833825
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,6.125968644113141
DCDTc_M,0.0,0.0
DUDTc_M,0.0,2.6686579525021625
TDSRs_M,0.0,0.0
TDSRc_M,0.0,2.668657952502488
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,6.218998328505796
DUMPKc_M,-2.6672352238268258,5.750222485818599
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,3.6683156622255346
ATCDs_M,0.0,3.6683156622250173
CMPKc_M,0.0,3.668315662225165
CMPKs_M,0.0,0.27575690467529146
ATUDc_M,0.0,5.722331738071829
ATUDs_M,0.0,6.926930522457455
ATUDv_M,0.0,0.0
UMPKc_M,0.0,2.7631829586029615
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.6750200171936178,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,7.58091778789693
PYKc_M,0.0,8.584917417336442
PYKs_M,0.0,0.0
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.31
MDH2c_M,0.0,1.561731410192952
MDH2s_M,0.0,0.0
PDCm_M,0.0,0.0
PDCs_M,0.0,0.0
ACSc_M,0.0,2.635844679047244
ACSx_M,0.0,2.551721006397907
ACSs_M,0.0,4.0337555853334495
GLU5Kc_M,0.0,0.03517505211628225
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,0.0
PYR5CDym_M,0.0,1.480722083418764
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.1907016868706104,11.222809688348748
AGATm_M,-5.659070604086126,6.7235737698654185
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-14.90754347280967,0.0
ALAATm_M,-0.82093317218187,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.031081281628958148
ARGDs_M,0.0,1.1137510186998343
ARGDc_M,0.0,1.1352976741988474
ARGDm_M,0.0,1.1252250176389622
ASPCLc_M,-2.668363951198081,0.09324719853581659
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.4517628919706831
GTHPs_M,0.0,0.0
GTHPc_M,0.0,0.0
GTHPm_M,0.0,2.982611444435707
UPGCDc_M,0.0,1.1470440240353297
GALKc_M,-12.916695888292047,16.66086852759915
UGLTc_M,-8.737411844369312,16.000852191173404
THAc_M,0.0,0.0
THPc_M,0.0,0.0
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,6.244617136648618
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,2.026677958942949
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,6.721377498496558
RAFFINSc_M,0.0,1.8604958236698694
IAGTc_M,0.0,6.786257781863961
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
