Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,1.2605410224044855
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,0.6986539422255614
FAC_Osr_M,0.0,1.2605410224050468
EX_co2(e),-6.9423335343720405,-6.234743834715454
EX_h2o(e),-46.181321203703256,0.0
EX_h(e),-8.833086334952444,0.0
EX_no3(e),-0.15229153550013466,0.0
EX_o2(e),-44.49034564031405,0.0
EX_pi(e),-1.1287027062633368,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.03155382390912085,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.03148138289738407,0.0
EX_h2s(e),-0.03166311268744096,0.0
EX_nh4(e),-1.2852702092111297,-0.18001301914385465
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.01607930346030387,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-275.0,-250.7724140882851
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,227.97492189844033,250.0
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,0.0,0.0
RPSI_450(u)_M,0.0,33.9820315
RPSI_470(u)_M,0.0,47.49298375
RPSI_490(u)_M,0.0,0.0
RPSI_510(u)_M,0.0,36.89597975
RPSI_530(u)_M,0.0,33.01180875
RPSI_550(u)_M,0.0,7.850402500000001
RPSI_570(u)_M,1.0468965369869883,1.14803914425
RPSI_590(u)_M,0.1295687134980261,0.14629499999999998
RPSI_610(u)_M,0.20011972169275996,0.21945365747499998
RPSI_630(u)_M,0.0,3.5253125
RPSI_650(u)_M,0.0,35.026788499999995
RPSI_670(u)_M,0.0,36.598024499999994
RPSI_690(u)_M,0.0,0.0
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,1000000.0
RPSII_450(u)_M,0.0,33.982031500000005
RPSII_470(u)_M,0.0,47.49298375
RPSII_490(u)_M,0.0,12.59747775
RPSII_510(u)_M,0.0,36.89597975
RPSII_530(u)_M,0.0,33.01180875
RPSII_550(u)_M,7.158779587235208,7.8504025
RPSII_570(u)_M,0.0,0.0
RPSII_590(u)_M,0.0,0.146295
RPSII_610(u)_M,0.0,0.21945365747499998
RPSII_630(u)_M,0.0,3.5253125
RPSII_650(u)_M,0.0,35.0267885
RPSII_670(u)_M,0.0,36.5980245
RPSII_690(u)_M,0.0,0.8145934322499999
CO2tex_M,6.234743834715382,6.94233353437206
H2Otex_M,0.0,0.0
Htex_M,-8.07096314257899,9.566956563928567
NO3tex_M,0.0,0.0
O2tex_M,0.0,44.490345640322424
Pitex_M,-4.173882281119262,9.407378173041828
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,0.0,0.2575709613666736
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.01607917664787187
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,0.0,0.0
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,0.0
PPASs_M,0.7481926336555251,3.5523753237535733
PPASm_M,0.0,0.0
PPASx_M,0.0,0.0
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,2.4307096112221553
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.03935111717880448
APLm_M,0.0,0.0
CATv_M,0.0,0.0
CATs_M,0.0,6.869253507572239
CATx_M,0.0,1.5537210088604316
CATm_M,0.0,1.5744036437779014
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,0.41807671143450603
RBPCs_M,6.028828430425131,8.819030625804968
RBPC2s_M,0.0,0.0
CYOO6m_M,0.008931600330071194,3.652819390416594
NO3Rm_M,0.0,0.0
AOXm_M,0.0,4.076559186724747
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,0.0
ATPPHs_M,0.0,0.0
ATPSs_M,31.00564101654033,40.31352220419426
ATPSm_M,0.0,9.661540479454722
ATPSv_M,0.0,0.0
GLUSs_M,0.0,0.0
GLUSys_M,0.0,3.759559806179035
GTHRc_M,0.0,3.5386960300079506
GTHRs_M,0.0,0.0
GTHRm_M,0.0,0.9793286811639614
ADK1c_M,0.0,2.3348319313973667
ADK1m_M,0.0,0.0
ADK1s_M,0.0,1.6803261696718084
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.031364673150154745
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-1.0322449089150842,0.0
BUPNc_M,0.0,1.0277601897370467
DHPDc_M,0.0,1.027760189736583
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,0.6222892370208061
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.5295465817237189
UPRTs_M,0.0,1.028552182600932
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-1.0285468630191668,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.5919977286109569
DCMPc_M,0.0,0.5295465817233544
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,2.0151479633391074
DCDTc_M,0.0,0.5295465817233612
DUDTc_M,0.0,1.02776551080135
TDSRs_M,0.0,0.0
TDSRc_M,0.0,1.0322449089152672
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,1.9808326693541176
DUMPKc_M,-1.032244908915014,1.8911820133507744
ATDCDc_M,0.0,0.0
DCMPKc_M,-0.529546581723386,0.0
ATCDc_M,0.0,1.1203600084248064
ATCDs_M,0.0,1.1203600084244574
CMPKc_M,0.0,1.1203600084247975
CMPKs_M,0.0,0.09282612296755675
ATUDc_M,0.0,2.1433617601064876
ATUDs_M,0.0,2.1433617601065205
ATUDv_M,0.0,0.0
UMPKc_M,0.0,1.0334247344001464
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.22101655966061678,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,2.5496027564713497
PYKc_M,0.0,2.344725277817168
PYKs_M,0.0,1.12700641900161
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.31
MDH2c_M,0.0,0.0
MDH2s_M,0.0,0.0
PDCm_M,0.0,0.0
PDCs_M,0.0,0.0
ACSc_M,0.0,0.9298580536795992
ACSx_M,0.0,0.0
ACSs_M,0.0,1.4078658728963065
GLU5Kc_M,0.0,0.011983773914568473
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,0.0
PYR5CDym_M,0.0,0.6459387630320326
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,3.8733865935774396
AGATm_M,-2.027948663073376,2.036616174678805
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-4.837003435333609,0.0
ALAATm_M,-0.2744665216900828,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.010338537494216036
ARGDs_M,0.0,0.4423199428171195
ARGDc_M,0.0,0.4490890800084225
ARGDm_M,0.0,0.44808356349948286
ASPCLc_M,-1.0322449089150851,0.03124179539988016
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.4503366837958645
GTHPs_M,0.0,0.0
GTHPc_M,0.0,0.0
GTHPm_M,0.0,0.9680991228094501
UPGCDc_M,0.0,0.0
GALKc_M,-2.670071501272939,5.18120942866714
UGLTc_M,-3.7939328622733077,5.12797531948126
THAc_M,0.0,0.0
THPc_M,0.0,0.9609993634106474
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,2.1443854641098747
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.7082758901012935
RAFFINSc_M,0.0,1.063027110427266
IAGTc_M,0.0,1.3109927623473383
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
