Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,18.10705191751871
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,9.852489629096993
FAC_Osr_M,0.0,18.10705191750464
EX_co2(e),-29.0,0.0
EX_h2o(e),-354.8408787471785,0.0
EX_h(e),-531.4133626903805,-189.1023471688827
EX_no3(e),-7.862955042994985,0.0
EX_o2(e),-547.5372863799093,-160.83382633626036
EX_pi(e),-15.633480266551368,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.42866529718992324,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.42925007063093745,0.0
EX_h2s(e),-0.4331234209867012,0.0
EX_nh4(e),-16.638549833972675,0.0
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.20597498295534844,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-775.0,-725.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,659.0909090909091,704.5454545454545
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,1.5900560351804125,1.918755568181818
RPSI_450(u)_M,0.0,95.76754331818182
RPSI_470(u)_M,0.0,0.0
RPSI_490(u)_M,0.0,35.50198275
RPSI_510(u)_M,0.0,103.97957929545456
RPSI_530(u)_M,0.0,0.0
RPSI_550(u)_M,0.0,0.0
RPSI_570(u)_M,2.8214910902397157,3.235383042886364
RPSI_590(u)_M,0.0,0.0
RPSI_610(u)_M,0.3733586958736115,0.6184603074295454
RPSI_630(u)_M,0.0,9.93497159090909
RPSI_650(u)_M,0.0,98.7118585
RPSI_670(u)_M,0.0,0.0
RPSI_690(u)_M,0.0,2.2956723999772723
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,1.918755568181818
RPSII_450(u)_M,0.0,0.0
RPSII_470(u)_M,0.0,133.84386329545455
RPSII_490(u)_M,33.04050336327649,35.50198275
RPSII_510(u)_M,0.0,103.97957929545456
RPSII_530(u)_M,0.0,93.03327920454547
RPSII_550(u)_M,20.492816241176307,22.123861590909094
RPSII_570(u)_M,0.0,0.0
RPSII_590(u)_M,0.0,0.18051580451507399
RPSII_610(u)_M,0.0,0.0
RPSII_630(u)_M,0.0,0.0
RPSII_650(u)_M,0.0,0.0
RPSII_670(u)_M,0.0,103.13988722727272
RPSII_690(u)_M,0.0,2.2956723999772723
CO2tex_M,0.0,29.0
H2Otex_M,0.0,0.0
Htex_M,148.13080747241372,527.7189022649485
NO3tex_M,0.0,0.0
O2tex_M,160.83382633626076,547.5372863800371
Pitex_M,-48.50946279145744,132.37378925009205
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,-11.659505639097565,14.596775242586052
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.20520505217125184
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,-67.85163239106325,42.59128921254926
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,37.09537524290471
PPASs_M,11.992567920139285,63.22820888831279
PPASm_M,0.0,0.0
PPASx_M,0.0,12.468937057443583
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,39.72589055168663
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.5489867582487227
APLm_M,0.0,0.5496466429578295
CATv_M,0.0,31.38468080580108
CATs_M,0.0,0.0
CATx_M,15.16438544159054,24.069066449411377
CATm_M,0.0,36.56226479651694
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,26.223417685906824
RBPCs_M,97.51501757222076,132.0
RBPC2s_M,0.0,0.0
CYOO6m_M,14.481566500276553,71.69379874787084
NO3Rm_M,0.0,0.0
AOXm_M,0.0,102.1092629603166
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,0.0
ATPPHs_M,0.0,0.0
ATPSs_M,127.93527613851447,208.51634638585702
ATPSm_M,177.0477570164513,357.74260721768695
ATPSv_M,0.0,0.0
GLUSs_M,0.0,40.5665932802472
GLUSys_M,0.0,0.0
GTHRc_M,0.0,53.45943735170295
GTHRs_M,0.0,69.42917785612903
GTHRm_M,0.0,0.0
ADK1c_M,0.0,36.55021779336806
ADK1m_M,0.0,0.0
ADK1s_M,0.0,23.01361423498065
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.4291676318761426
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-6.856877092998325,0.0
BUPNc_M,0.0,6.853651249669476
DHPDc_M,0.0,6.853359631959384
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,5.4825849299245855
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,6.863398152721918
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-6.881007204830146,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.0
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,0.0
DCDTc_M,0.0,0.0
DUDTc_M,0.0,6.859762282255356
TDSRs_M,0.0,0.0
TDSRc_M,0.0,6.86005430120609
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,0.0
DUMPKc_M,-6.858938885211297,0.0
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,15.611374718559254
ATCDs_M,0.0,0.0
CMPKc_M,0.0,15.611374718550621
CMPKs_M,0.0,1.5965481116510727
ATUDc_M,0.0,31.29395724283954
ATUDs_M,0.0,0.0
ATUDv_M,0.0,0.0
UMPKc_M,0.0,7.007551699756283
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-2.6641450699450475,0.0
ADSHc_M,-3.235069878487135,0.0
PEPSs_M,0.0,0.0
PYKc_M,0.0,12.700254838202
PYKs_M,0.0,7.1216496724340494
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.31
MDH2c_M,0.0,5.698858027003062
MDH2s_M,0.0,0.0
PDCm_M,0.0,6.47656454636652
PDCs_M,0.0,6.4693525013669255
ACSc_M,0.0,17.602090820483006
ACSx_M,0.0,12.334518034992081
ACSs_M,0.0,13.838894354755466
GLU5Kc_M,0.0,5.7012672274507565
GLU5Ks_M,0.0,0.0
GDHym_M,-39.81760520058338,0.0
GDHm_M,-41.89620576333667,0.0
PYR5CDm_M,0.0,5.482584929924474
PYR5CDs_M,0.0,34.309431653747176
PYR5CDym_M,0.0,5.48258492992447
PYR5CDys_M,0.0,0.0
GALc_M,0.0,22.518440868667913
GALm_M,0.0,0.0
GALs_M,0.0,39.866285078320345
AGATm_M,-23.836813289494664,84.96868686194037
AGATx_M,-66.90875928098689,0.0
AGATs_M,0.0,0.0
ALAATc_M,-58.212573836575515,152.58860816725823
ALAATm_M,-41.83501192224054,44.979119777419406
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.0
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-6.863490879061987,0.4291676318761367
ICDHc_M,-87.11478092736148,0.0
ICDHm_M,0.0,35.689837962700096
GTHPs_M,0.0,48.52761079563552
GTHPc_M,0.0,53.486568697209904
GTHPm_M,0.0,0.0
UPGCDc_M,0.0,4.535102213734075
GALKc_M,-45.79009752404282,77.69483182385838
UGLTc_M,-37.7026909339088,77.70738601139936
THAc_M,0.0,19.745127307107474
THPc_M,0.0,18.99704324617542
TPSc_M,0.0,20.165258838838252
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,37.53177325809013
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,0.0
UDPG4Ec_M,0.0,46.1508498849314
ATGDc_M,0.0,0.0
