Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,0.0,0.0
Straw_Biomass_M,0.0,0.0
ACCOAC_OSAc_M,0.0,0.0
ACCOAC_OSAr_M,0.0,3.100199330999838
ACPC_OSs_M,0.0,0.0
ACPC_OSm_M,0.0,0.0
FAC_Osc_M,0.0,1.7165906916244662
FAC_Osr_M,0.0,3.100199330999855
EX_co2(e),-21.339688583690453,-19.443725152393778
EX_h2o(e),-131.94472775239208,0.0
EX_h(e),-35.99930444536056,0.0
EX_no3(e),-0.38372302138501646,0.0
EX_o2(e),-127.6171994087569,0.0
EX_pi(e),-2.7490776610434833,0.0
EX_sucr(e),0.0,0.0
EX_fru-B(e),0.0,0.0
EX_glc-A(e),0.0,0.0
EX_so4(e),-0.08202639434520835,0.0
EX_hco3(e),0.0,0.0
EX_so3(e),-0.08158834763981307,0.0
EX_h2s(e),-0.08271295573493503,0.0
EX_nh4(e),-3.236151833284998,-0.5613901325980459
EX_asn-L(e),0.0,0.0
EX_gln-L(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_ac(e),0.0,0.0
EX_lac-L(e),0.0,0.0
EX_tsul(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),0.0,0.0
EX_mg2(e),-0.03529950552346196,0.0
EX_ala-L(e),0.0,0.0
EX_arg-L(e),0.0,0.0
EX_asp-L(e),0.0,0.0
EX_cys-L(e),0.0,0.0
EX_glu-L(e),0.0,0.0
EX_gly(e),0.0,0.0
EX_his-L(e),0.0,0.0
EX_ile-L(e),0.0,0.0
EX_leu-L(e),0.0,0.0
EX_lys-L(e),0.0,0.0
EX_met-L(e),0.0,0.0
EX_phe-L(e),0.0,0.0
EX_pro-L(e),0.0,0.0
EX_ser-L(e),0.0,0.0
EX_thr-L(e),0.0,0.0
EX_trp-L(e),0.0,0.0
EX_tyr-L(e),0.0,0.0
EX_val-L(e),0.0,0.0
EX_photonVis(e),-775.0,-725.0
PRISM_blue_LED_M,0.0,0.0
PRISM_red_LED_M,0.0,0.0
PRISM_white_LED_M,659.0909090909091,704.5454545454545
PRISM_green_LED_M,0.0,0.0
PRISM_solar_litho_M,0.0,0.0
RPSI_410(u)_M,0.0,0.0
RPSI_430(u)_M,1.7811375823940956,1.918755568181818
RPSI_450(u)_M,0.0,95.76754331818182
RPSI_470(u)_M,0.0,133.84386329545455
RPSI_490(u)_M,0.0,35.50198275
RPSI_510(u)_M,0.0,103.97957929545456
RPSI_530(u)_M,0.0,93.03327920454547
RPSI_550(u)_M,0.0,22.123861590909094
RPSI_570(u)_M,3.0140092509312595,3.235383042886364
RPSI_590(u)_M,0.3718057167251522,0.4122859090909091
RPSI_610(u)_M,0.5647492039215803,0.6184603074295454
RPSI_630(u)_M,0.0,9.93497159090909
RPSI_650(u)_M,0.0,98.7118585
RPSI_670(u)_M,0.0,103.13988722727272
RPSI_690(u)_M,0.0,2.2956723999772723
RPSII_410(u)_M,0.0,0.0
RPSII_430(u)_M,0.0,0.0
RPSII_450(u)_M,0.0,95.76754331818182
RPSII_470(u)_M,0.0,133.84386329545455
RPSII_490(u)_M,0.0,35.50198275
RPSII_510(u)_M,0.0,103.97957929545456
RPSII_530(u)_M,0.0,93.03327920454547
RPSII_550(u)_M,20.6826761606506,22.123861590909094
RPSII_570(u)_M,0.0,0.0
RPSII_590(u)_M,0.0,0.0
RPSII_610(u)_M,0.0,0.6184603074295454
RPSII_630(u)_M,0.0,9.93497159090909
RPSII_650(u)_M,0.0,98.7118585
RPSII_670(u)_M,0.0,103.13988722727272
RPSII_690(u)_M,0.0,2.2956723999772723
CO2tex_M,19.443725152393906,21.33968858369043
H2Otex_M,0.0,0.0
Htex_M,-18.90260347748979,34.85912961201264
NO3tex_M,0.0,0.0
O2tex_M,0.0,127.61719940875712
Pitex_M,-11.482696461007569,28.533423542450155
SUCRtex_M,0.0,0.0
FRUtex_M,0.0,0.0
GLCtex_M,0.0,0.0
SO4tex_M,0.0,0.0
SO3tex_M,0.0,0.0
HCO3tex_M,0.0,0.0
H2Stex_M,-0.6536099509462444,0.0
NH4tex_M,0.0,0.0
ASNtex_M,0.0,0.0
GLNtex_M,0.0,0.0
ETOHtex_M,0.0,0.0
ACtex_M,0.0,0.0
LACtex_M,0.0,0.0
TSULtex_M,0.0,0.0
FE2tex_M,0.0,0.0
FE3tex_M,0.0,0.0
MG2tex_M,0.0,0.035281672853184065
ALAtex_M,0.0,0.0
ARGtex_M,0.0,0.0
ASPtex_M,0.0,0.0
CYStex_M,0.0,0.0
GLUtex_M,0.0,0.0
GLYtex_M,-14.80752727325507,0.0
HIStex_M,0.0,0.0
ILEtex_M,0.0,0.0
LEUtex_M,0.0,0.0
LYStex_M,0.0,0.0
METtex_M,0.0,0.0
PHEtex_M,0.0,0.0
PROtex_M,0.0,0.0
SERtex_M,0.0,0.0
THRtex_M,0.0,0.0
TRPtex_M,0.0,0.0
TYRtex_M,0.0,0.0
VALtex_M,0.0,0.0
PPASc_M,0.0,0.0
PPASs_M,2.333319911050986,9.72415698691266
PPASm_M,0.0,0.0
PPASx_M,0.0,2.6850786859267215
PPASv_M,0.0,0.0
PPAIcxc_M,0.0,4.917979232137823
PPAIcvc_M,0.0,0.0
APLs_M,0.0,0.10162467308094786
APLm_M,0.0,0.0
CATv_M,0.0,3.532887544770728
CATs_M,0.0,19.559275759684603
CATx_M,0.0,4.905472824480814
CATm_M,0.0,3.534149735560779
GLUSfm_M,0.0,0.0
GLUSfs_M,0.0,0.9050575657203557
RBPCs_M,18.989723612999466,26.59770318870611
RBPC2s_M,0.0,0.0
CYOO6m_M,0.0,9.332960490559369
NO3Rm_M,0.0,0.0
AOXm_M,0.0,16.4897115563265
ATPPHc_M,0.0,0.0
ATPPHm_M,0.0,0.0
ATPPHs_M,0.0,0.0
ATPSs_M,90.85217654178302,115.62401478774252
ATPSm_M,0.0,8.917793736384064
ATPSv_M,0.0,0.0
GLUSs_M,0.0,2.3063396393370126
GLUSys_M,0.0,10.10051496499824
GTHRc_M,0.0,8.816434460652836
GTHRs_M,0.0,0.0
GTHRm_M,0.0,3.2816588027480345
ADK1c_M,0.0,4.801873529244215
ADK1m_M,0.0,0.0
ADK1s_M,0.0,7.191161110538369
ATPAPc_M,0.0,0.0
ADPAc_M,0.0,0.0
GAL1PUTc_M,0.0,0.0
DPCOAKc_M,0.0,0.08175642550903775
URIKGc_M,0.0,0.0
URIKGs_M,0.0,0.0
DHDHc_M,-2.2742000731421292,0.0
BUPNc_M,0.0,2.274003800966147
DHPDc_M,0.0,2.2740038009662267
TMDSc_M,0.0,0.0
CYTDc_M,0.0,0.0
GTPCYTDPTc_M,0.0,0.0
GTPCYTDPTs_M,0.0,0.0
DCTPDAc_M,0.0,0.0
CTPRc_M,0.0,0.0
UTPRc_M,0.0,0.0
ATPRc_M,0.0,0.0
GTPRc_M,0.0,0.0
DCAHc_M,0.0,0.0
UPRTs_M,0.0,2.203384627793016
UPRTc_M,0.0,0.0
UPHc_M,0.0,0.0
UPHs_M,-2.201882043210953,0.0
DURIKc_M,0.0,0.0
TMDKc_M,0.0,0.0
ATCYc_M,0.0,0.0
ATCYs_M,0.0,0.0
AUPTc_M,0.0,0.0
AUPTs_M,0.0,0.0
DGSNHc_M,0.0,0.0
TPHc_M,0.0,0.0
TPHs_M,0.0,0.0
DUMPc_M,0.0,0.0
DCMPc_M,0.0,0.0
CMPc_M,0.0,0.0
CMPs_M,0.0,0.0
UMPc_M,0.0,0.0
UMPs_M,0.0,0.0
CTPSc_M,0.0,0.0
DUTNHc_M,0.0,5.332878367831038
DCDTc_M,0.0,0.0
DUDTc_M,0.0,2.2740038009661423
TDSRs_M,0.0,0.0
TDSRc_M,0.0,2.2740038009661956
TDSRm_M,0.0,0.0
ATDTDc_M,0.0,0.0
DTMPKc_M,0.0,0.0
ATDUDc_M,0.0,3.858371033544875
DUMPKc_M,-2.274003800966175,0.0
ATDCDc_M,0.0,0.0
DCMPKc_M,0.0,0.0
ATCDc_M,0.0,2.7409454929840975
ATCDs_M,0.0,2.740945492983657
CMPKc_M,0.0,2.740945492983759
CMPKs_M,0.0,0.24285842775690028
ATUDc_M,0.0,5.63592260255121
ATUDs_M,0.0,3.5385102394834256
ATUDv_M,0.0,0.0
UMPKc_M,0.0,0.0
MATc_M,0.0,0.0
AMPDc_M,0.0,0.0
AMPPc_M,0.0,0.0
ADNKc_M,0.0,0.0
APPRTc_M,0.0,0.0
APPRTs_M,-0.5348158397851193,0.0
ADSHc_M,0.0,0.0
PEPSs_M,0.0,0.0
PYKc_M,0.0,5.11525482276517
PYKs_M,0.0,2.224012498072131
PPDKs_M,0.0,0.0
PPDKc_M,0.0,0.0
MDH2c_M,0.0,0.0
MDH2s_M,0.0,1.067120552828881
PDCm_M,0.0,0.0
PDCs_M,0.0,0.0
ACSc_M,0.0,2.0626789238128067
ACSx_M,0.0,2.6850786859262556
ACSs_M,0.0,2.7795464441779143
GLU5Kc_M,0.0,0.0
GLU5Ks_M,0.0,0.0
GDHym_M,0.0,0.0
GDHm_M,0.0,0.0
PYR5CDm_M,0.0,0.0
PYR5CDs_M,0.0,7.085218291013234
PYR5CDym_M,0.0,0.0
PYR5CDys_M,0.0,0.0
GALc_M,0.0,0.0
GALm_M,0.0,0.0
GALs_M,0.0,10.27069415153602
AGATm_M,-6.7258912351100255,6.843411348183986
AGATx_M,0.0,0.0
AGATs_M,0.0,0.0
ALAATc_M,-11.604025776081258,0.0
ALAATm_M,-0.6573153149182895,0.0
ALAATs_M,0.0,0.0
AAATc_M,0.0,0.032267805920911254
ARGDs_M,0.0,0.0
ARGDc_M,0.0,0.0
ARGDm_M,0.0,0.0
ASPCLc_M,-2.2740038009664514,0.08135678040817149
ICDHc_M,0.0,0.0
ICDHm_M,0.0,0.4330498925066053
GTHPs_M,0.0,0.0
GTHPc_M,0.0,8.052439923885395
GTHPm_M,0.0,3.2522950112914275
UPGCDc_M,0.0,0.0
GALKc_M,-12.363700549991517,13.994933216345476
UGLTc_M,-12.7385398206336,13.994933216345268
THAc_M,0.0,0.0
THPc_M,0.0,0.0
TPSc_M,0.0,0.0
GLCNSc_M,0.0,0.0
GLCNGBc_M,0.0,0.0
GLCNGBv_M,0.0,0.0
GLCNGAc_M,0.0,0.0
GLCNGAv_M,0.0,0.0
GALUic_M,0.0,4.809314339063439
GALUiv_M,0.0,0.0
MTGHc_M,0.0,0.0
MGHAc_M,0.0,0.0
MGHBc_M,0.0,0.0
SFHc_M,0.0,0.0
RGHc_M,0.0,0.0
SYGHc_M,0.0,0.0
GRGTc_M,0.0,0.0
RAFFINSc_M,0.0,0.0
IAGTc_M,0.0,4.808610513010225
UDPG4Ec_M,0.0,0.0
ATGDc_M,0.0,0.0
ATGDs_M,0.0,4.146761726917307
GTPDPKs_M,0.0,0.0
