Reaction,Lower Bound,Upper Bound
EX_co2(e),-22.2,-19.980000000000185
EX_h2o(e),-235.95954399490532,0.0
EX_h(e),-74.61384809188144,0.0
EX_o2(e),-231.0658585972782,0.0
EX_nh4(e),-4.277913010486993,-0.5768737606295582
EX_mg2(e),-0.06529411764705531,0.0
EX_photonVis(e),-1525.0,-1475.0
PRISM_white_LED_M,1340.909090909091,1386.3636363636365
RPSI_430(u)_M,3.5865309959893024,3.775615795454546
RPSI_450(u)_M,0.0,188.44581104545458
RPSI_470(u)_M,0.0,263.37018261363636
RPSI_490(u)_M,0.0,69.85874025
RPSI_510(u)_M,0.0,204.60497861363638
RPSI_530(u)_M,0.0,183.06548488636366
RPSI_550(u)_M,0.0,43.53405022727273
RPSI_570(u)_M,0.0,0.0
RPSI_590(u)_M,0.0,0.8112722727272728
RPSI_630(u)_M,0.0,19.549460227272725
RPSI_650(u)_M,0.0,194.23946350000003
RPSI_670(u)_M,196.23320092780747,202.95268131818182
RPSI_690(u)_M,0.0,4.517290851568182
RPSII_470(u)_M,0.0,263.37018261363636
RPSII_490(u)_M,0.0,69.85874025
RPSII_510(u)_M,0.0,204.60497861363638
RPSII_530(u)_M,0.0,183.06548488636366
RPSII_550(u)_M,0.0,43.53405022727273
RPSII_630(u)_M,0.0,19.549460227272725
RPSII_650(u)_M,0.0,194.23946350000003
RPSII_670(u)_M,0.0,202.95268131818182
RPSII_690(u)_M,0.0,0.0
CO2tex_M,19.98,22.2
Htex_M,-42.277924845552455,74.53843636839191
O2tex_M,0.0,231.0658585972767
Pitex_M,-15.22494725043088,47.20064629099909
PPASs_M,2.397674903209536,35.737770514265094
PPAIcxc_M,0.0,15.63245696932193
APLs_M,0.0,0.15002188587837106
CATs_M,0.0,74.97797889756846
CATx_M,0.0,7.694112882939111
CATm_M,0.0,12.45998806546919
RBPCs_M,20.243216866024106,40.238437893413916
CYOO6m_M,0.0,12.971840701421147
AOXm_M,0.0,30.85579121305204
ATPSs_M,90.7276632311068,257.64205384991214
ATPSm_M,0.0,42.253442545142946
GLUSys_M,0.0,42.79377579434365
GTHRm_M,0.0,10.591403581313704
ADK1c_M,0.0,14.687989980551674
ADK1s_M,0.0,32.22329778316095
DUTNHc_M,0.0,15.052249268862013
ATDUDc_M,0.0,16.308498925742985
DUMPKc_M,-8.593001489385559,16.339412428184833
