Reaction,Lower Bound,Upper Bound
EX_co2(e),-7.50406851100296,-7.010783260358985
EX_h2o(e),-48.93643681109697,0.0
EX_h(e),-17.694669733509432,-0.10522252937767773
EX_no3(e),-0.10452710901886762,0.0
EX_o2(e),-47.57363685738478,0.0
EX_nh4(e),-0.9581518471632758,-0.20241926448258424
EX_mg2(e),-0.010648877515590061,0.0
EX_photonVis(e),-275.0,-249.14613656282924
PRISM_white_LED_M,226.4964877843903,250.0
RPSI_430(u)_M,0.0,0.68084875
RPSI_450(u)_M,0.0,33.982031500000005
RPSI_470(u)_M,0.0,47.49298375
RPSI_490(u)_M,0.0,12.59747775
RPSI_510(u)_M,0.0,36.89597975
RPSI_530(u)_M,0.0,33.01180875
RPSI_550(u)_M,0.0,7.850402500000001
RPSI_570(u)_M,0.0,1.14803914425
RPSI_590(u)_M,0.1325412147216696,0.146295
RPSI_610(u)_M,0.19882193059810419,0.21945365747499998
RPSI_630(u)_M,0.0,3.5253125
RPSI_650(u)_M,4.466367805752915,35.0267885
RPSI_670(u)_M,0.0,36.598024499999994
RPSI_690(u)_M,0.0,0.8145934322499999
RPSII_430(u)_M,0.0,0.6808487499999999
RPSII_450(u)_M,0.0,33.982031500000005
RPSII_470(u)_M,0.0,47.49298375
RPSII_490(u)_M,0.0,12.59747775
RPSII_510(u)_M,0.0,36.895979749999995
RPSII_530(u)_M,0.0,33.01180875
RPSII_550(u)_M,0.0,7.850402500000001
RPSII_570(u)_M,0.0,1.14803914425
RPSII_630(u)_M,0.0,3.5253125
RPSII_650(u)_M,0.0,30.560420694247526
RPSII_670(u)_M,0.0,36.5980245
RPSII_690(u)_M,0.0,0.8145934322499999
CO2tex_M,7.010783260359039,7.50406851100298
Htex_M,-5.007240515402929,17.659706454002674
O2tex_M,0.0,47.57363685738449
Pitex_M,-2.345419017290797,10.732663954375813
H2Stex_M,-0.18659648594979486,0.18440744160271308
PPASs_M,0.8413202740342489,4.701589727372967
PPASx_M,0.0,1.2933383059655266
PPAIcxc_M,0.0,3.3653581106002033
APLs_M,0.0,0.028961686622626354
CATs_M,0.0,5.2169911312670125
CATx_M,0.0,1.625175886774547
CATm_M,0.0,0.2227833333333333
RBPCs_M,6.735280346739499,9.66172697016179
CYOO6m_M,0.0,5.689451237603939
AOXm_M,0.0,8.347007833452434
ATPSs_M,31.924421963861995,39.66275076775364
ATPSm_M,0.0,16.7633413241411
GLUSys_M,0.0,3.3344028282036207
GTHRc_M,0.0,3.6789465520619995
ADK1c_M,0.0,3.792174449949839
ADK1s_M,0.0,3.851202929917874
UPRTs_M,0.0,0.6782925087600468
UPHs_M,-0.6983282535789833,0.0
AUPTs_M,0.0,0.6985615561841344
DUTNHc_M,0.0,3.3695163637914254
ATDUDc_M,0.0,3.313590571423236
DUMPKc_M,-0.6733605242107934,3.3442396746196232
ATUDc_M,0.0,3.4127297167923993
ATUDs_M,0.0,1.7256836129193607
UMPKc_M,0.0,0.7282448354547202
PYKc_M,0.0,1.5861195028960644
PYKs_M,0.0,3.2912915958495184
PPDKc_M,0.0,0.31
ACSc_M,0.0,1.6885103353723936
ACSx_M,0.0,1.2933383059657013
ACSs_M,0.0,1.75891480161735
GLU5Kc_M,0.0,0.49232584873303936
GALc_M,0.0,1.0736845677684306
GALs_M,0.0,3.4674375257379317
AGATm_M,-1.4712409507107034,2.1618177188346723
ALAATc_M,-3.306899620121695,0.0
ALAATm_M,-0.6053509519322153,0.13685754058053323
AAATc_M,0.0,0.011485926116434961
ICDHm_M,0.0,0.13328706044711242
GTHPc_M,0.0,3.6395103839495944
GALKc_M,-2.591686926952769,6.153817177794851
UGLTc_M,0.0,6.165454818271939
GALUic_M,0.0,3.25213164299291
UDPG4Ec_M,0.0,5.277345797822136
PPCKc_M,0.0,0.4994390152841053
MDHys_M,-9.882538488754783,0.2146249398107756
MDHm_M,0.24261888830436906,10.395223178366292
ATPCSc_M,0.0,1.301532750803588
CSx_M,0.0,1.7466971861806562
CSm_M,-1.6702286795124741,0.27875380993196
OXAACc_M,0.0,0.40222182701349435
OXAODc_M,0.0,0.3888358743294045
ASPTAc_M,-5.724852253921381,0.0
GLYTAx_M,0.0,1.5713631803049997
LYSDCs_M,0.0,0.0736321435589221
PDHam1s_M,0.0,0.5563746881688316
PDHam2s_M,0.0,0.5480470070656015
PDHe2s_M,0.0,0.5472119597822236
PDHe3s_M,0.0,0.5477473778773302
DAPDCs_M,0.0,0.07363014559238182
MALSx_M,0.0,1.7466971861806702
GOXx_M,0.0,3.2495743428056096
ICLx_M,0.0,0.38569069402155803
ASPKs_M,0.005825567114890915,1.7162761248128893
ASPALc_M,0.0,3.2398000695090863
ASNNc_M,0.0,3.2398000695090845
HCGALc_M,0.0,0.011515269591038598
PSPs_M,0.0,0.5009792109813762
CYSTGLs_M,0.0,0.02249030539881722
CYSTBSs_M,0.0,0.4478119383407091
SATc_M,0.0,0.18715548725782155
SATm_M,0.0,0.18596119367977207
SGATx_M,0.6589547220889422,1.6133659704708274
AMETAHYCSTc_M,-0.30316752249179535,0.0
ENOc_M,0.0,25.44863152023612
ENOs_M,-2.6828924793516578,2.9341458031490952
ORNTAc_M,-0.011518102297214795,0.0
IAAALASc_M,0.0,3.23980006950907
IAALEUSc_M,0.0,3.2397744812275437
IAAALAHc_M,0.0,3.2398000695090694
IAALEUHc_M,0.0,3.239800069508719
PPDHc_M,0.0,0.049144680633251975
PPDHs_M,0.0,0.04980546648906875
MALCOADCc_M,0.0,0.08565359642039577
ICHDxm_M,0.0,0.29276769387711926
ACALDHc_M,0.0,1.6117025687665276
ACALDHm_M,0.0,1.8627228303137124
GLYCRORc_M,-2.5252867701718875,0.0
ARGDHTs_M,0.0,0.04980546648907081
ARGOAT2s_M,0.0,0.05063024778609991
ARGDHs_M,0.0,0.050144783859838706
GLYDHDm_M,0.0,1.9582685486162168
DHLDHm_M,0.0,1.958268548616224
MTAMnh4m_M,0.0,1.9582685486162146
THRAc_M,0.0,1.6689746363744498
MDHARc_M,0.0,7.847861438730823
MDHARyc_M,0.0,30.884381858220546
ASCOXc_M,0.0,15.416020899249677
ASCPO1c_M,0.0,3.639510383946934
FBPc_M,0.0,6.452081883759394
FBPs_M,0.0,6.675429610011651
SPSc_M,0.0,3.2189907899383803
PGI1c_M,-6.581913295022716,2.9986168846363435
PGI1s_M,-3.1040899127779653,7.322931830938687
BFFSc_M,0.0,3.06804219014037
INVc_M,0.0,3.09796317476911
SPPc_M,0.0,2.334544471917954
SUSc_M,0.0,3.2968471327561812
XYL2c_M,0.0,6.143110572013467
CYSSc_M,0.0,0.18715548725782283
SHMTm_M,0.0,1.9582685486162128
GLPATs_M,0.8413202740342461,3.26648748775856
ORPDCs_M,0.0,0.6738096257505282
TPIc_M,-11.751274292625517,11.25733134984836
TPIs_M,-18.765874881829625,3.655279052268493
RPDPKs_M,0.0,0.6187834033066405
PPMs_M,0.0,0.6782925087600559
RPIs_M,3.068324235084089,4.0450828352047274
GAPDHc_M,-12.05557290468993,4.976852052013478
GAPDH1ys_M,-23.266903669685252,-7.517831108469242
KHKc_M,0.0,2.5252867701717894
FBA2c_M,0.0,2.522725673447515
FBAc_M,-6.452081883759818,0.0
FBAs_M,-6.675429610011648,0.0
FUMm_M,-0.36956814850534336,0.0
ARGSL1c_M,0.0,0.17637353808783338
LATs_M,-0.02130550224231296,0.0
GMPRc_M,0.0,2.8578634612971
GMPS1c_M,0.0,2.857863461297053
IMPDc_M,0.0,2.8578634612966978
DHAD-bs_M,0.0,0.028961686622625885
IPMSs_M,0.0,0.021305502242312896
VALATs_M,-0.027020236035837635,0.021296053097059016
P5CRyc_M,0.0,0.5908076560178409
CYSTALs_M,0.0,0.4462756737957643
PGLYCPs_M,1.3179110125962377,3.216659595790028
UG46DHc_M,0.0,0.01689351617993985
UDDGEc_M,0.0,0.01689351617993882
URMNORc_M,0.0,0.01689351617994019
HPRyx_M,0.46418755606130535,1.6133659704707544
THRSs_M,0.0,1.7084164386373153
PGKc_M,-12.055572904690075,4.973553710189214
PGKs_M,-23.266901061824274,-7.517831108469775
PGLYDHs_M,0.0,0.5009994599026868
GLYK1s_M,0.7063842606466312,1.6133659704706498
PGMc_M,0.0,6.9385631493518956
