	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2050	2100	2150	2200	2250	2300	2350	2400	2450
Coleoptile_Biomass_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Straw_Biomass_M	0.008850684184091776	0.0588507210355583	0.11048192720954447	0.15675266453063322	0.19850889734530364	0.24098187011716332	0.2848040780989577	0.3283410847793138	0.37187809145966305	0.4154143759649531	0.45895049745835986	0.5024866189517635	0.5460227404451767	0.5887814090546302	0.632249323957712	0.6766311049253979	0.7201672264188058	0.76370334791221	0.807239469405621	0.8507755908990378	0.8943117123924369	0.936524728279172	0.9813839553792508	1.0234605580853162	1.068456198366066	1.1119923198594712	1.1555284413528932	1.1973322176975876	1.2408001326006586	1.2842680475037267	1.329672927326509	1.3732090488199193	1.4167451703133158	1.4602812918067343	1.5038174133001403	1.5473535347935503	1.5908896562869692	1.6344257777803608	1.6779618992738248	1.72149761881734	1.7650251405913269	1.806864453409442	1.8467521152569808	1.8914828549879281	1.9195034251258483	1.9745060292732286	2.0159280771582404	2.0402693057912953	2.0770377040324357	2.123299536159914
ACCOAC_OSAc_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACCOAC_OSAr_M	0.0008935827765942738	0.0059416864971840126	0.011154476334948222	0.01582606251634179	0.020041855293776546	0.024330011570769042	0.028754389333026965	0.03314997260148908	0.0375455558699505	0.04194106622617359	0.04633656012439093	0.05073205402260794	0.05512754792082593	0.05944454862097357	0.06383315624541852	0.06831402961547801	0.07270952351369547	0.07710501741191254	0.08150051131013031	0.08589600520834864	0.09029149910656521	0.09455340961652176	0.09908248690299992	0.1033306248654097	0.10787347469943476	0.11226896859765192	0.1166644624958708	0.12088505536318384	0.12527366298762768	0.12966227061207125	0.134246438088739	0.13864193198695668	0.143037425885173	0.1474329197833915	0.15182841368160876	0.15622390757982643	0.160619401478045	0.16501489537626077	0.1694103892744839	0.1738058425910363	0.17820046824438154	0.18242464894512408	0.1864517870605753	0.19096789200529118	0.19379690480755588	0.1993500777274837	0.20353213052605026	0.20598966965130075	0.2097018806745228	0.21437256776977723
ACPC_OSs_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACPC_OSm_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_Osc_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAC_Osr_M	-2.522444992466156e-05	-0.00016772455495134116	-0.0003148734925472018	-0.0004467450939123047	-0.0005657503574341154	-0.0006867983298339155	-0.0008116916225820295	-0.0009357720916210443	-0.0010598525606600397	-0.0011839309715001164	-0.0013080089177563256	-0.001432086864012526	-0.0015561648102687539	-0.001678027015805696	-0.0018019105732794793	-0.0019283986490373842	-0.0020524765952935967	-0.0021765545415497983	-0.00230063248780602	-0.0024247104340622576	-0.0025487883803184453	-0.0026690954755956404	-0.002796944272830865	-0.0029168625905431514	-0.0030451001653432883	-0.003169178111599493	-0.003293256057855746	-0.003412396820438125	-0.0035362803779118773	-0.003660163935385621	-0.003789567842880551	-0.00391364578913677	-0.0040377237353929505	-0.0041618016816491925	-0.0042858796279054	-0.004409957574161618	-0.004534035520417862	-0.004658113466674029	-0.004782191412930401	-0.00490626821362942	-0.005030321650685282	-0.00514956369221691	-0.005263243528482396	-0.005390726136715596	-0.005470584761608667	-0.0056273421834287015	-0.005745395019900986	-0.005814767521505192	-0.005919557456492442	-0.006051403678055755
EX_co2(e)	0.0	0.0	-0.27825218176333494	-1.0271921166060347	-1.771688567165227	-2.5103947339510997	-3.249100900735006	-3.9878070675199675	-4.726513234304726	-5.465207147716855	-6.20389829525476	-6.942589442792573	-7.681280590330559	-8.41997173786629	-9.158662885406551	-9.897354032944248	-10.636045180482206	-11.374736328019926	-12.113427475557936	-12.852118623096056	-13.590809770633742	-14.329500918175807	-15.068192065709528	-15.806883213248769	-16.545574360785476	-17.284265508323287	-18.022956655861577	-18.761647803402813	-19.500338950937014	-20.23903009847833	-20.977721246012685	-21.71641239355076	-22.45510354108857	-23.193794688626518	-23.93248583616442	-24.67117698370244	-25.409868131240245	-26.148559278778038	-26.887250426317134	-27.625934753843737	-28.364479987221728	-29.0	-29.0	-29.0	-29.0	-29.0	-29.0	-29.0	-29.0	-29.0
EX_h2o(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
