	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2050
Coleoptile_Biomass_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Straw_Biomass_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACCOAC_OSAc_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACCOAC_OSAr_M	0.0	0.0	0.0	0.0	0.0	0.0	8.954466797680045e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.757708301402394e-11	0.0	0.0	0.0	0.0	0.0	-2.160260211178313e-12	0.0	0.0	0.0
ACPC_OSs_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACPC_OSm_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5653731415168587e-12	0.0	0.0	0.0
FAC_Osc_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3010037491767434e-11	0.0	-9.647788796816623e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1307462830337174e-12	0.0	0.0	0.0
FAC_Osr_M	0.0	0.0	0.0	0.0	0.0	0.0	9.701049377388827e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3010037491767434e-11	0.0	5.6208856468409896e-11	0.0	-4.757708301402394e-11	0.0	0.0	0.0	0.0	0.0	-4.725633352695173e-12	0.0	0.0	0.0
EX_co2(e)	0.0	0.0	-0.5558300898942318	-1.3744868903453988	-2.1921393580380726	-3.0095970898100246	-3.827054821576364	-4.644512553353795	-5.461970285125874	-6.278996485425143	-7.09599213251732	-7.912987779610452	-8.72998342670329	-9.546979073795825	-10.363974720888447	-11.180970367982319	-11.997966015074585	-12.814961662163741	-13.631957309202594	-14.448952956351837	-15.265948603444645	-16.08294425053811	-16.89993989762774	-17.716935544722556	-18.53393119181551	-19.350926838907633	-20.16792248600014	-20.98491813309274	-21.801913780182304	-22.61890942728145	-23.43590507437144	-24.2529007214639	-25.069896368557504	-25.886892015649345	-26.703875596471917	-27.52074782465115	-28.337620052830214	-29.0	-29.0	-29.0	-29.0	-29.0
EX_h2o(e)	5.649921981610603	2.5879135731157223	0.036982307318084134	-1.8970067777959614	-3.7438166022916852	-5.573679773336893	-7.40354294437596	-9.233406115433445	-11.063269286470804	-12.91868526125243	-14.775910420603404	-16.633135579994242	-18.4903607393692	-20.347585898741563	-22.2048110581091	-24.062036217484156	-25.919261376857847	-27.776486536224247	-29.63371169574729	-31.490936854973402	-33.34816201434276	-35.20538717372084	-37.06261233308941	-38.91983749246542	-40.777062651844496	-42.634287811198746	-44.491512970570504	-46.348738129938525	-48.20596328932841	-50.06318844869604	-51.920413608112995	-53.777638767435235	-55.63486392681244	-57.49208908618676	-59.34855274254432	-61.19798892697039	-63.04742511140862	-64.31793042550733	-63.584224293080624	-63.480702870750605	-63.45167191098529	-62.96011715137214
EX_h(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_no3(e)	-0.003436109374036402	-0.0858273106779639	-0.16427507042822645	-0.2407624331531723	-0.31715273319465137	-0.3935242131878085	-0.4698956931893555	-0.5462671731741141	-0.6226386531672807	-0.6989684282549636	-0.7752952505600618	-0.8516220728652634	-0.9279488951704111	-1.004275717475564	-1.0806025397807073	-1.1569293620858554	-1.2332561843897518	-1.3095830067004244	-1.3859098290013265	-1.462236651306459	-1.5385634736116025	-1.6148902959167628	-1.69121711822524	-1.7675439405270617	-1.8438707628322182	-1.920197585137357	-1.9965244074424937	-2.07285122974763	-2.1491780520557064	-2.225504874355819	-2.3018316966644066	-2.3781585189682244	-2.4544853412734073	-2.530812163578569	-2.60713781975172	-2.6834527143657567	-2.759767608979745	-3.04294345190647	-4.200960330101605	-5.3421557391942365	-6.478782536770117	-7.607802250204574
EX_o2(e)	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618	-2.2618
EX_pi(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6209256159527285e-12	0.0	0.0	0.0	0.0	0.0	1.98596694644948e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.073186232744774e-12	0.0	-1.1439738045737613e-12	0.0	5.483613563228573e-12	0.0	0.0	0.0	0.0	0.0	0.0	-1.5170087408478139e-12
EX_sucr(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_fru-B(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_glc-A(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_so4(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_hco3(e)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
