Straw_Biomass_M,Straw Biomass reaction,0.0321 ala-L_c0 + 0.0123 arg-L_c0 + 0.0417 asp-L_c0 + 33.259 atp_c0 + 2.0789 cellulose_c0 + 0.1721 conoh_c0 + 0.2065 coumoh_c0 + 0.0071 ctp_c0 + 0.0033 cys-L_c0 + 0.0009 datp_c0 + 0.0007 dctp_c0 + 0.0007 dgtp_c0 + 0.0009 dttp_c0 + 0.00285 fa_os_r0 + 0.0643 fru-B_c0 + 0.0546 glc-A_c0 + 0.0385 glu-L_c0 + 0.0282 gly_c0 + 0.0071 gtp_c0 + 0.057 his-L_c0 + 0.014 ile-L_c0 + 0.0234 leu-L_c0 + 0.0153 lys-L_c0 + 0.0076 met-L_c0 + 0.000191 pa_os_r0 + 0.0034 pc_os_r0 + 0.00178 pe_os_r0 + 0.0133 phe-L_c0 + 0.0225 pro-L_c0 + 0.00041 ptd1ino_os_r0 + 0.0219 ser-L_c0 + 0.1475 sinoh_c0 + 0.3249 starch_s0 + 0.1049 sucr_c0 + 0.0192 thr-L_c0 + 0.0298 triglyc_os_r0 + 0.0016 trp-L_c0 + 0.0077 tyr-L_c0 + 0.1256 udparab_c0 + 0.4018 udpg_c0 + 0.0229 udpgal_c0 + 0.5033 udpglcur_c0 + 0.572 udpxyl_c0 + 0.009 utp_c0 + 0.0225 val-L_c0 --> 33.259 adp_c0 + 1.626 h_c0 + 33.259 pi_c0 + 1.626 udp_c0,"{'charge': -32.595728000000015, 'C': -51.317775, 'H': -53.417854999999996, 'N': -0.6409799999999946, 'O': -9.328897999999981, 'S': -0.0109, 'P': -0.08418099999999651, 'R': -0.103812}",,,,
ACCOAC_OSAr_M,Acyl-CoA (Aerobic composition),0.0411 hdcoa_r0 + 0.0238 lnlncoa_r0 + 0.342 ocdycacoa_r0 + 0.3398 odecoa_r0 + 0.2532 pmtcoa_r0 <=> acylcoa_os_r0,"{'charge': 3.9996, 'C': -16.4075, 'H': -30.543599999999998, 'N': 0.000700000000000145, 'O': -0.9982999999999969, 'P': 0.0002999999999997449, 'S': 9.999999999998899e-05}",,,,
FAC_Osc_M,Fatty acid (Aerobic composition),fa_os_c0 <=> 0.2532 hdca_c0 + 0.0411 hdcea_c0 + 0.0238 lnlnl_c0 + 0.3398 ocdcea_c0 + 0.342 ocdcya_c0,"{'charge': -0.9999, 'C': 16.4096, 'H': 30.5943, 'O': -0.00019999999999995022, 'R': -1.0}",,,,
FAC_Osr_M,Fatty acid (Aerobic composition),fa_os_r0 <=> 0.2532 hdca_r0 + 0.0411 hdcea_r0 + 0.0238 lnlnl_r0 + 0.3398 ocdcea_r0 + 0.342 ocdcya_r0,"{'charge': -0.9999, 'C': 16.4096, 'H': 30.5943, 'O': -0.00019999999999995022, 'R': -1.0}",,,,
EX_co2(e),CO2 exchange,co2_e <-- ,"{'C': -1.0, 'O': -2.0}",,,,
EX_h2o(e),H2O exchange,h2o_e <-- ,"{'H': -2.0, 'O': -1.0}",,,,
EX_h(e),H+ exchange,h_e <-- ,"{'charge': -1.0, 'H': -1.0}",,,,
EX_no3(e),nitrate exchange,no3_e <-- ,"{'charge': 1.0, 'N': -1.0, 'O': -3.0}",,,,
EX_o2(e),O2 exchange,o2_e <-- ,{'O': -2.0},,,,
EX_pi(e),Phosphate exchange,pi_e <-- ,"{'charge': 2.0, 'H': -1.0, 'P': -1.0, 'O': -4.0}",,,,
EX_so4(e),Sulfate exchange,so4_e <-- ,"{'charge': 2.0, 'S': -1.0, 'O': -4.0}",,,,
