Coleoptile_Biomass_M,Coleoptile Biomass reaction,0.0914 ala-L_c0 + 0.0639 arg-L_c0 + 0.0985 asp-L_c0 + 33.259 atp_c0 + 0.74 cellulose_c0 + 0.0071 ctp_c0 + 0.0126 cys-L_c0 + 0.0009 datp_c0 + 0.0007 dctp_c0 + 0.0007 dgtp_c0 + 0.0009 dttp_c0 + 0.0074 fa_os_r0 + 0.0166 fru-B_c0 + 0.026 glc-A_c0 + 0.1758 glu-L_c0 + 0.094 gly_c0 + 0.0071 gtp_c0 + 0.021 his-L_c0 + 0.045 ile-L_c0 + 0.0901 leu-L_c0 + 0.0409 lys-L_c0 + 0.0251 met-L_c0 + 0.001356 pa_os_r0 + 0.0244 pc_os_r0 + 0.01265 pe_os_r0 + 0.041 phe-L_c0 + 0.0638 pro-L_c0 + 0.00293 ptd1ino_os_r0 + 0.0699 ser-L_c0 + 1.93 starch_s0 + 0.5243 sucr_c0 + 0.0478 thr-L_c0 + 0.0752 triglyc_os_r0 + 0.012 trp-L_c0 + 0.0386 tyr-L_c0 + 0.054 udparab_c0 + 0.1728 udpg_c0 + 0.0099 udpgal_c0 + 0.2165 udpglcur_c0 + 0.246 udpxyl_c0 + 0.009 utp_c0 + 0.075 val-L_c0 --> 33.259 adp_c0 + 0.6993 h_c0 + 33.259 pi_c0 + 0.6993 udp_c0,"(0.0, 1000.0)"
Straw_Biomass_M,Straw Biomass reaction,0.0321 ala-L_c0 + 0.0123 arg-L_c0 + 0.0417 asp-L_c0 + 33.259 atp_c0 + 2.0789 cellulose_c0 + 0.1721 conoh_c0 + 0.2065 coumoh_c0 + 0.0071 ctp_c0 + 0.0033 cys-L_c0 + 0.0009 datp_c0 + 0.0007 dctp_c0 + 0.0007 dgtp_c0 + 0.0009 dttp_c0 + 0.00285 fa_os_r0 + 0.0643 fru-B_c0 + 0.0546 glc-A_c0 + 0.0385 glu-L_c0 + 0.0282 gly_c0 + 0.0071 gtp_c0 + 0.057 his-L_c0 + 0.014 ile-L_c0 + 0.0234 leu-L_c0 + 0.0153 lys-L_c0 + 0.0076 met-L_c0 + 0.000191 pa_os_r0 + 0.0034 pc_os_r0 + 0.00178 pe_os_r0 + 0.0133 phe-L_c0 + 0.0225 pro-L_c0 + 0.00041 ptd1ino_os_r0 + 0.0219 ser-L_c0 + 0.1475 sinoh_c0 + 0.3249 starch_s0 + 0.1049 sucr_c0 + 0.0192 thr-L_c0 + 0.0298 triglyc_os_r0 + 0.0016 trp-L_c0 + 0.0077 tyr-L_c0 + 0.1256 udparab_c0 + 0.4018 udpg_c0 + 0.0229 udpgal_c0 + 0.5033 udpglcur_c0 + 0.572 udpxyl_c0 + 0.009 utp_c0 + 0.0225 val-L_c0 --> 33.259 adp_c0 + 1.626 h_c0 + 33.259 pi_c0 + 1.626 udp_c0,"(0.0, 1000.0)"
ACCOAC_OSAc_M,Acyl-CoA (Aerobic composition),0.0411 hdcoa_c0 + 0.0238 lnlncoa_c0 + 0.342 ocdycacoa_c0 + 0.3398 odecoa_c0 + 0.2532 pmtcoa_c0 <=> acylcoa_os_c0,"(-1000.0, 1000.0)"
ACCOAC_OSAr_M,Acyl-CoA (Aerobic composition),0.0411 hdcoa_r0 + 0.0238 lnlncoa_r0 + 0.342 ocdycacoa_r0 + 0.3398 odecoa_r0 + 0.2532 pmtcoa_r0 <=> acylcoa_os_r0,"(-1000.0, 1000.0)"
ACPC_OSs_M,ACP(Aerobic composition),0.0411 hdeACP_s0 + 0.0238 lnlnlACP_s0 + 0.342 ocdcyaACP_s0 + 0.3398 octeACP_s0 + 0.2532 palmACP_s0 <=> ACP_os_s0,"(-1000.0, 1000.0)"
ACPC_OSm_M,ACP(Aerobic composition),0.0411 hdeACP_m0 + 0.0238 lnlnlACP_m0 + 0.342 ocdcyaACP_m0 + 0.3398 octeACP_m0 + 0.2532 palmACP_m0 <=> ACP_os_m0,"(-1000.0, 1000.0)"
FAC_Osc_M,Fatty acid (Aerobic composition),fa_os_c0 <=> 0.2532 hdca_c0 + 0.0411 hdcea_c0 + 0.0238 lnlnl_c0 + 0.3398 ocdcea_c0 + 0.342 ocdcya_c0,"(-1000.0, 1000.0)"
FAC_Osr_M,Fatty acid (Aerobic composition),fa_os_r0 <=> 0.2532 hdca_r0 + 0.0411 hdcea_r0 + 0.0238 lnlnl_r0 + 0.3398 ocdcea_r0 + 0.342 ocdcya_r0,"(-1000.0, 1000.0)"
EX_co2(e),CO2 exchange,co2_e --> ,"(0, 0)"
EX_h2o(e),H2O exchange,h2o_e --> ,"(0, 0)"
EX_h(e),H+ exchange,h_e --> ,"(0, 0)"
EX_no3(e),nitrate exchange,no3_e --> ,"(0, 0)"
EX_o2(e),O2 exchange,o2_e --> ,"(0, 0)"
EX_pi(e),Phosphate exchange,pi_e --> ,"(0, 0)"
EX_sucr(e),Sucrose exchange,sucr_e --> ,"(0, 0)"
EX_fru-B(e),Fructose exchange,fru-B_e --> ,"(0, 0)"
EX_glc-A(e),Glucose exchange,glc-A_e --> ,"(0, 0)"
EX_so4(e),Sulfate exchange,so4_e --> ,"(0, 0)"
EX_hco3(e),Bicarbonate exchange,hco3_e --> ,"(0, 0)"
EX_so3(e),Sulfite exchange,hso3_e --> ,"(0, 0)"
EX_h2s(e),Hydrogen sulfide exchange,h2s_e --> ,"(0, 0)"
EX_nh4(e),Ammonia exchange,nh4_e --> ,"(0, 0)"
EX_asn-L(e),L-Asparagine exchange,asn-L_e --> ,"(0, 0)"
EX_gln-L(e),L-Glutamine exchange,gln-L_e --> ,"(0, 0)"
EX_etoh(e),Ethanol exchange,etoh_e --> ,"(0, 0)"
EX_ac(e),Acetate exchange,ac_e --> ,"(0, 0)"
EX_lac-L(e),L-Lactate exchange,lac-L_e --> ,"(0, 0)"
EX_tsul(e),Thiosulfate exchange,tsul_e --> ,"(0, 0)"
EX_fe2(e),Fe2+ exchange,fe2_e --> ,"(0, 0)"
EX_fe3(e),Fe3+ exchange,fe3_e --> ,"(0, 0)"
EX_mg2(e),Magnesium exchange,mg2_e --> ,"(0, 0)"
EX_ala-L(e),L-Alanine exchange,ala-L_e --> ,"(0, 0)"
EX_arg-L(e),L-Arginine exchange,arg-L_e --> ,"(0, 0)"
EX_asp-L(e),L-Aspartate exchange,asp-L_e --> ,"(0, 0)"
EX_cys-L(e),L-Cysteine exchange,cys-L_e --> ,"(0, 0)"
EX_glu-L(e),L-Glutamate exchange,glu-L_e --> ,"(0, 0)"
EX_gly(e),Glycine exchange,gly_e --> ,"(0, 0)"
EX_his-L(e),L-Histidine exchange,his-L_e --> ,"(0, 0)"
EX_ile-L(e),L-Isoleucine exchange,ile-L_e --> ,"(0, 0)"
EX_leu-L(e),L-Leucine exchange,leu-L_e --> ,"(0, 0)"
EX_lys-L(e),L-Lysine exchange,lys-L_e --> ,"(0, 0)"
EX_met-L(e),L-Methionine exchange,met-L_e --> ,"(0, 0)"
EX_phe-L(e),L-Phenylalanine exchange,phe-L_e --> ,"(0, 0)"
EX_pro-L(e),L-Proline exchange,pro-L_e --> ,"(0, 0)"
EX_ser-L(e),L-Serine exchange,ser-L_e --> ,"(0, 0)"
EX_thr-L(e),L-Threonine exchange,thr-L_e --> ,"(0, 0)"
EX_trp-L(e),L-Tryptophan exchange,trp-L_e --> ,"(0, 0)"
EX_tyr-L(e),L-Tyrosine exchange,tyr-L_e --> ,"(0, 0)"
EX_val-L(e),L-Valine exchange,val-L_e --> ,"(0, 0)"
EX_photonVis(e),photon emission,photonVis_e --> ,"(0, 0)"
PRISM_blue_LED_M,spectral decomposition of blue LED (450  nm),photonVis_e --> 0.0009290386222 photon410_u0 + 0.370517176 photon430_u0 + 0.520401408 photon450_u0 + 0.094361569 photon470_u0 + 0.00457897551 photon490_u0,"(0.0, 1000.0)"
PRISM_red_LED_M,spectral decomposition of red LED (660  nm),photonVis_e --> 0.002879576 photon610_u0 + 0.003855380193 photon630_u0 + 0.483357529 photon650_u0 + 0.456570768 photon670_u0 + 0.010829504 photon690_u0,"(0.0, 1000.0)"
PRISM_white_LED_M,"spectral decomposition of red LED (Mix of R, G & B)",photonVis_e --> 0.002723395 photon430_u0 + 0.135928126 photon450_u0 + 0.189971935 photon470_u0 + 0.050389911 photon490_u0 + 0.147583919 photon510_u0 + 0.132047235 photon530_u0 + 0.03140161 photon550_u0 + 0.004592156577 photon570_u0 + 0.00058518 photon590_u0 + 0.0008778146299 photon610_u0 + 0.01410125 photon630_u0 + 0.140107154 photon650_u0 + 0.146392098 photon670_u0 + 0.003258373729 photon690_u0,"(0.0, 1000.0)"
PRISM_green_LED_M,spectral decomposition of red LED (530  nm),photonVis_e --> 0.072259765 photon490_u0 + 0.432884077 photon510_u0 + 0.376758388 photon530_u0 + 0.102672594 photon550_u0 + 0.0013448784 photon570_u0,"(0.0, 1000.0)"
PRISM_solar_litho_M,spectral decomposition of solar light measured from Earth's surface,photonVis_e --> 0.0875466208216505 photon410_u0 + 0.0777032069830811 photon430_u0 + 0.16853092734227 photon450_u0 + 0.0879940630355183 photon470_u0 + 0.0554809714890051 photon490_u0 + 0.0533930518919026 photon510_u0 + 0.0991797178348545 photon530_u0 + 0.053840402093837 photon550_u0 + 0.0593586844218185 photon570_u0 + 0.0616106756465811 photon590_u0 + 0.0708277726962523 photon610_u0 + 0.073676345660808 photon630_u0 + 0.0314690080805471 photon650_u0 + 0.0815809794281998 photon670_u0 + 0.06219 photon690_u0,"(0.0, 1000.0)"
RPSI_410(u)_M,Photosystem I 410 specific reaction,photon410_u0 --> 0.299972 photonDrain_u0 + 0.700028 photonPSI_u0,"(0.0, 1000.0)"
